chr	strand	start	end	gene_id	gene_symbol	omega	rate
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	7.44502	0.902803
3	+	50088908	50119021	ENSG00000003756.16	RBM5	81.8647	0.878322
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	1.10726	1
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.0279433	1
7	+	127588345	127591705	ENSG00000004059.10	ARF5	49.2751	0.985911
17	+	28364356	28404049	ENSG00000004139.13	SARM1	6.77086	0.629618
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	66.8977	0.907387
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	69.4629	0.45572
1	-	33007940	33080996	ENSG00000004455.16	AK2	82.3409	0.995625
4	+	15778275	15853230	ENSG00000004468.12	CD38	0.162071	1
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	60.987	0.92474
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	77.647	0.932691
3	+	49940007	50100045	ENSG00000004534.14	RBM6	39.286	0.808182
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	6.4281	0.619436
12	-	21468911	21501669	ENSG00000004700.15	RECQL	43.4268	0.756695
7	+	93232340	93361121	ENSG00000004766.15	VPS50	15.5713	0.737791
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	69.3832	0.977409
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	0	0
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	28.8362	0.979559
7	-	95583499	95596491	ENSG00000004799.7	PDK4	8.80911	0.982087
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0	1
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.651587	1
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0167663	1
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.00558865	1
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	5.89423	0.881837
7	+	116953238	117230103	ENSG00000004866.19	ST7	15.1572	0.902352
17	-	47117703	47189422	ENSG00000004897.11	CDC27	59.6347	0.763729
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.252548	1
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0	1
X	+	11111301	11123078	ENSG00000004961.14	HCCS	22.4077	0.944745
17	-	7225341	7234545	ENSG00000004975.11	DVL2	42.2227	0.705599
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0	1
19	+	18831938	18868236	ENSG00000005007.12	UPF1	71.2605	0.5645
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	13.6681	0.928409
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	79.123	0.999033
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	11.7294	0.898485
7	-	27181510	27185223	ENSG00000005073.5	HOXA11	24.7768	0.985759
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	40.7309	0.975948
17	-	5440912	5469060	ENSG00000005100.12	DHX33	16.5084	0.832252
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.0614752	1
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.498322	1
17	+	34980494	35009743	ENSG00000005156.11	LIG3	13.5307	0.754897
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	22.445	0.948395
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	0.202283	1
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	1.083	0.802156
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	27.7755	0.986054
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	20.4612	0.71851
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	10.0886	0.394738
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	20.6372	0.656074
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	4.54945	0.925058
X	+	11758159	11775753	ENSG00000005302.17	MSL3	20.5023	0.92217
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	109.254	0.8467
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	2.54675	0.154167
17	-	58269856	58280935	ENSG00000005381.7	MPO	0.0430602	1
7	-	95297676	95324707	ENSG00000005421.8	PON1	0	1
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	5.94334	0.651959
2	+	74421678	74425755	ENSG00000005448.16	WDR54	7.60316	0.826271
7	+	87345681	87399795	ENSG00000005469.11	CROT	10.5266	0.743316
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	4.55188	0.570767
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	55.3728	0.743598
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	24.0916	0.944825
16	+	981808	986979	ENSG00000005513.9	SOX8	0.07186	1
6	-	82169983	82247754	ENSG00000005700.14	IBTK	51.514	0.688845
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	9.88915	0.847239
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	47.0024	0.546172
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	48.0309	0.843701
16	+	30472658	30523185	ENSG00000005844.17	ITGAL	0.117571	1
17	+	50094737	50112152	ENSG00000005882.11	PDK2	26.4512	0.843428
17	+	50055968	50090481	ENSG00000005884.17	ITGA3	30.1547	0.790428
X	+	24149173	24216255	ENSG00000005889.15	ZFX	17.9901	0.527342
X	-	120427827	120469365	ENSG00000005893.15	LAMP2	187.402	0.959776
17	-	44372180	44389505	ENSG00000005961.17	ITGA2B	0.117448	0.805194
7	+	95478444	95540232	ENSG00000005981.12	ASB4	0.117362	1
16	-	19501689	19522145	ENSG00000006007.11	GDE1	71.1901	0.999111
19	+	18588685	18592336	ENSG00000006015.17	C19orf60	10.7354	0.91581
19	-	18572220	18607741	ENSG00000006016.10	CRLF1	0.978211	0.573305
17	-	47807372	47821834	ENSG00000006025.11	OSBPL7	2.10126	0.331703
17	+	32927910	32945106	ENSG00000006042.11	TMEM98	144.776	0.847227
17	-	7288252	7294615	ENSG00000006047.12	YBX2	0	1
17	-	41346092	41350812	ENSG00000006059.3	KRT33A	0	1
17	-	45263121	45317040	ENSG00000006062.13	MAP3K14	5.08697	0.392459
11	-	17392885	17476845	ENSG00000006071.12	ABCC8	0	1
16	+	24255553	24362801	ENSG00000006116.3	CACNG3	0	1
11	+	60924463	60937159	ENSG00000006118.14	TMEM132A	27.8869	0.93666
17	+	35578046	35726409	ENSG00000006125.16	AP2B1	208.497	0.949562
7	+	97731908	97740472	ENSG00000006128.11	TAC1	0.00558865	1
16	+	3263800	3301401	ENSG00000006194.9	ZNF263	20.7177	0.662219
16	+	57372458	57385048	ENSG00000006210.6	CX3CL1	0.696027	0.957895
17	+	50543058	50555852	ENSG00000006282.20	SPATA20	11.2131	0.522098
17	+	50561068	50627474	ENSG00000006283.17	CACNA1G	2.62365	0.455554
16	+	3018445	3022383	ENSG00000006327.13	TNFRSF12A	69.662	0.938288
7	+	97005548	97011039	ENSG00000006377.10	DLX6	0.0335319	1
14	-	70722526	70809534	ENSG00000006432.15	MAP3K9	0.0670838	1
7	+	39623483	39708124	ENSG00000006451.7	RALA	95.9881	0.982399
7	-	98291651	98401068	ENSG00000006453.13	BAIAP2L1	5.62872	0.770862
7	-	140084746	140177035	ENSG00000006459.10	KDM7A	8.34246	0.822262
7	-	13891228	13991425	ENSG00000006468.13	ETV1	3.74431	0.294783
7	+	141551189	141655244	ENSG00000006530.15	AGK	22.0919	0.950542
11	+	68008578	68029282	ENSG00000006534.15	ALDH3B1	41.9717	0.873443
1	-	54779712	54801267	ENSG00000006555.10	TTC22	0.0168078	1
7	+	77798792	77957503	ENSG00000006576.16	PHTF2	33.359	0.840518
7	-	75769533	75789896	ENSG00000006606.8	CCL26	0.150894	1
2	+	241356243	241494841	ENSG00000006607.13	FARP2	47.8969	0.935719
11	-	17493895	17544416	ENSG00000006611.15	USH1C	0	1
7	-	30496621	30504844	ENSG00000006625.17	GGCT	12.2715	0.966443
7	+	87876216	87909541	ENSG00000006634.7	DBF4	0.313399	0.680792
19	-	3594506	3606840	ENSG00000006638.11	TBXA2R	1.27301	0.995185
7	+	112422968	112481017	ENSG00000006652.13	IFRD1	40.325	0.870449
19	+	39704306	39709444	ENSG00000006659.12	LGALS14	0.0335319	1
17	+	14069496	14208677	ENSG00000006695.10	COX10	11.404	0.992064
7	+	74453790	74602604	ENSG00000006704.10	GTF2IRD1	14.5432	0.839237
19	-	39385852	39391195	ENSG00000006712.14	PAF1	46.622	0.880922
7	-	38722963	38932394	ENSG00000006715.15	VPS41	42.4668	0.920842
17	+	12789539	12991643	ENSG00000006740.16	ARHGAP44	0.895928	1
17	-	12992391	13018187	ENSG00000006744.18	ELAC2	32.5078	0.848028
7	+	12570577	12660179	ENSG00000006747.14	SCIN	0.735578	0.925262
X	-	2903970	2929351	ENSG00000006756.15	ARSD	24.9176	0.800469
X	-	7898247	7927739	ENSG00000006757.11	PNPLA4	4.52065	0.950419
17	-	10298084	10373130	ENSG00000006788.12	MYH13	0.681223	0.891025
12	+	1688574	1788678	ENSG00000006831.9	ADIPOR2	21.4683	0.267396
5	-	134286350	134371047	ENSG00000006837.11	CDKL3	0.339556	0.271788
2	+	157876702	158136154	ENSG00000007001.12	UPP2	0.0223546	1
16	+	2817180	2826304	ENSG00000007038.10	PRSS21	0.0707769	1
19	+	45079288	45305283	ENSG00000007047.14	MARK4	40.5804	0.898306
4	-	15963076	16084378	ENSG00000007062.11	PROM1	0.0279432	1
19	+	17933016	17943991	ENSG00000007080.10	CCDC124	38.965	0.986996
19	+	41549518	41586844	ENSG00000007129.17	CEACAM21	0	1
17	+	2593210	2685615	ENSG00000007168.12	PAFAH1B1	166.047	0.955851
17	-	27756766	27800499	ENSG00000007171.16	NOS2	0	1
17	+	11598431	11969748	ENSG00000007174.17	DNAH9	0	1
17	-	28614440	28645454	ENSG00000007202.14	KIAA0100	82.5795	0.42331
17	+	28473293	28497781	ENSG00000007216.14	SLC13A2	0	1
17	-	9910609	10198551	ENSG00000007237.18	GAS7	32.529	0.982289
19	-	45162928	45178237	ENSG00000007255.10	TRAPPC6A	7.53171	0.923067
19	-	3777970	3802129	ENSG00000007264.14	MATK	0.016766	1
19	-	41673307	41706976	ENSG00000007306.14	CEACAM7	0	1
17	-	63928740	63932354	ENSG00000007312.12	CD79B	0.0279432	1
17	-	63938554	63972918	ENSG00000007314.11	SCN4A	0.016766	1
1	-	112523518	112620825	ENSG00000007341.18	ST7L	9.84294	0.806603
X	+	154295671	154330350	ENSG00000007350.16	TKTL1	0	1
11	-	31784792	31817961	ENSG00000007372.20	PAX6	1.49411	1
16	-	784974	788397	ENSG00000007376.7	RPUSD1	13.9242	0.916021
16	-	58059	76355	ENSG00000007384.15	RHBDF1	21.0427	0.458762
16	-	188969	229463	ENSG00000007392.16	LUC7L	19.0664	0.929414
3	-	50362799	50504244	ENSG00000007402.11	CACNA2D2	0.175127	1
16	+	1333601	1349441	ENSG00000007516.13	BAIAP3	0.272795	1
16	-	1349240	1351911	ENSG00000007520.3	TSR3	23.0577	0.836022
16	+	566995	584136	ENSG00000007541.16	PIGQ	15.5837	0.900612
16	+	1612325	1677908	ENSG00000007545.15	CRAMP1	8.28148	0.223664
6	-	35473597	35497076	ENSG00000007866.18	TEAD3	29.1841	0.640661
1	-	169722641	169764705	ENSG00000007908.15	SELE	0	1
1	-	6634168	6701924	ENSG00000007923.15	DNAJC11	50.0835	0.892407
1	+	171090877	171117819	ENSG00000007933.12	FMO3	0.366107	0.977746
6	+	16129125	16148248	ENSG00000007944.14	MYLIP	66.3183	0.837682
X	-	100843324	100874345	ENSG00000007952.17	NOX1	0.162071	1
1	-	23506430	23531220	ENSG00000007968.6	E2F2	1.34147	0.980972
6	-	170535117	170553341	ENSG00000008018.8	PSMB1	95.8085	0.975881
X	-	47571898	47619853	ENSG00000008056.12	SYN1	0.430326	1
6	+	15246296	15522040	ENSG00000008083.13	JARID2	11.268	0.753032
X	+	18425583	18653629	ENSG00000008086.11	CDKL5	6.99731	0.721083
1	+	209583717	209613938	ENSG00000008118.9	CAMK1G	0	1
1	-	1702730	1724324	ENSG00000008128.22	CDK11A	3.12067	0.156078
1	-	1751232	1780457	ENSG00000008130.15	NADK	45.7766	0.818579
6	+	50818723	50847613	ENSG00000008196.12	TFAP2B	0	1
6	+	50713828	50772988	ENSG00000008197.4	TFAP2D	0	1
3	+	38039205	38124025	ENSG00000008226.19	DLEC1	0.19726	1
7	-	6161776	6272644	ENSG00000008256.15	CYTH3	122.9	0.864182
7	+	87934143	88202889	ENSG00000008277.14	ADAM22	0.783211	0.993922
7	-	106090503	106112576	ENSG00000008282.8	SYPL1	95.6911	0.985807
17	-	63432304	63446378	ENSG00000008283.15	CYB561	26.7704	1
17	-	50962174	51120865	ENSG00000008294.20	SPAG9	107.761	0.886337
3	-	48636469	48662915	ENSG00000008300.15	CELSR3	0.0972269	0.098905
7	-	122075647	122144280	ENSG00000008311.14	AASS	5.47966	0.430134
12	+	6310436	6328506	ENSG00000008323.15	PLEKHG6	0.363677	1
3	+	42581840	42595114	ENSG00000008324.10	SS18L2	6.1236	0.982695
19	+	4343527	4360086	ENSG00000008382.15	MPND	4.98777	0.792632
12	+	16347142	16609259	ENSG00000008394.12	MGST1	9.89419	0.944525
12	-	106991364	107093829	ENSG00000008405.11	CRY1	16.2441	0.835744
19	-	46019153	46023065	ENSG00000008438.4	PGLYRP1	0	1
19	+	12995608	13098796	ENSG00000008441.16	NFIX	72.2935	0.198922
8	-	133454848	133571940	ENSG00000008513.14	ST3GAL1	47.0228	0.966179
16	+	3046681	3060726	ENSG00000008516.16	MMP25	0.433678	1
16	+	3065297	3082192	ENSG00000008517.16	IL32	6.22863	1
16	-	2088710	2135898	ENSG00000008710.18	PKD1	0.799241	0.00479209
22	+	50600685	50613981	ENSG00000008735.13	MAPK8IP2	0.351732	1
17	-	40019097	40061215	ENSG00000008838.18	MED24	25.8278	0.612157
8	+	22987417	23020199	ENSG00000008853.16	RHOBTB2	19.3939	0.828478
2	-	36968383	37084342	ENSG00000008869.11	HEATR5B	10.0299	0.479337
3	+	169966635	169998373	ENSG00000008952.16	SEC62	207.751	0.950556
8	-	56067295	56074581	ENSG00000008988.9	RPS20	859.785	0.999239
1	-	114716913	114758676	ENSG00000009307.15	CSDE1	581.601	0.897678
7	+	157138913	157269372	ENSG00000009335.17	UBE3C	95.3018	0.756816
6	-	111299028	111483715	ENSG00000009413.15	REV3L	169.959	0.527878
X	-	124375903	124963817	ENSG00000009694.13	TENM1	0	1
1	+	18631006	18748866	ENSG00000009709.11	PAX7	0	1
1	-	11026523	11047233	ENSG00000009724.16	MASP2	1.06743	1
6	+	150368892	150405969	ENSG00000009765.14	IYD	0.134163	1
1	+	27725979	27763122	ENSG00000009780.15	FAM76A	6.92607	0.916868
1	+	209756032	209782320	ENSG00000009790.14	TRAF3IP3	0.00379528	1
14	-	77274956	77320884	ENSG00000009830.11	POMT2	20.5084	0.880736
6	+	142147162	142224689	ENSG00000009844.15	VTA1	56.419	0.997606
7	-	73593194	73624543	ENSG00000009950.15	MLXIPL	0.129613	0.212628
7	-	73440398	73522278	ENSG00000009954.10	BAZ1B	144.923	0.900921
6	-	13621498	13711564	ENSG00000010017.12	RANBP9	105.994	0.893703
6	-	36354091	36387800	ENSG00000010030.13	ETV7	0.995134	0.983775
1	+	231337104	231355023	ENSG00000010072.15	SPRTN	9.95606	0.998858
1	+	171781664	171814023	ENSG00000010165.19	METTL13	33.0241	0.920038
12	+	4562204	4615302	ENSG00000010219.13	DYRK4	3.96766	0.882859
17	+	32350109	32381886	ENSG00000010244.17	ZNF207	108.512	0.831923
3	-	48599002	48610976	ENSG00000010256.10	UQCRC1	52.3772	0.905478
7	+	38178222	38230671	ENSG00000010270.13	STARD3NL	26.9167	0.970527
12	+	6199715	6238271	ENSG00000010278.12	CD9	6.17161	0.991995
3	-	42692663	42702827	ENSG00000010282.14	HHATL	0	1
12	+	6493356	6531955	ENSG00000010292.12	NCAPD2	27.0424	0.620088
12	-	6538375	6556083	ENSG00000010295.19	IFFO1	11.068	0.76464
19	+	45668244	45683724	ENSG00000010310.8	GIPR	0.337429	1
3	+	52410657	52423641	ENSG00000010318.20	PHF7	0.431762	0.250024
3	-	52433053	52445085	ENSG00000010319.6	SEMA3G	0.150894	1
3	+	52455118	52493071	ENSG00000010322.15	NISCH	73.0095	0.721282
3	+	52495338	52524495	ENSG00000010327.10	STAB1	0.0268479	0.42085
19	-	49806869	49817376	ENSG00000010361.13	FUZ	5.85104	0.749381
12	-	220621	262873	ENSG00000010379.15	SLC6A13	0.0335319	1
X	-	149476990	149521096	ENSG00000010404.17	IDS	83.7478	0.70268
9	+	33750466	33799231	ENSG00000010438.16	PRSS3	0	1
16	-	3222325	3236221	ENSG00000010539.11	ZNF200	6.54605	0.839904
12	+	6786858	6820808	ENSG00000010610.9	CD4	0.184643	1
12	+	6873569	6914243	ENSG00000010626.14	LRRC23	1.588	0.594082
X	-	101349447	101390796	ENSG00000010671.15	BTK	0.0642472	1
6	+	26087281	26098343	ENSG00000010704.18	HFE	16.0126	0.884198
1	-	41027200	41242154	ENSG00000010803.16	SCMH1	27.5229	0.749745
6	-	111660332	111873452	ENSG00000010810.17	FYN	104.015	0.945095
6	-	142751467	142945201	ENSG00000010818.8	HIVEP2	24.905	0.330173
1	+	171248471	171285978	ENSG00000010932.15	FMO1	1.17492	0.852753
1	+	23743155	23762059	ENSG00000011007.12	TCEB3	68.2026	0.920081
1	+	23790970	23795539	ENSG00000011009.10	LYPLA2	19.9467	0.855997
1	+	11806096	11843144	ENSG00000011021.21	CLCN6	8.99526	0.34178
17	+	62627401	62693597	ENSG00000011028.13	MRC2	493.28	0.521819
17	+	51153590	51171744	ENSG00000011052.21	NME1-NME2	12.441	0.992501
5	+	150189957	150222788	ENSG00000011083.8	SLC6A7	0.117362	1
12	+	3077355	3286564	ENSG00000011105.11	TSPAN9	86.677	0.920807
14	-	93237550	93333092	ENSG00000011114.14	BTBD7	33.5379	0.951771
19	-	3750819	3761699	ENSG00000011132.11	APBA3	6.85404	0.746552
17	-	58205437	58219605	ENSG00000011143.16	MKS1	4.39684	0.566873
3	+	43690113	43734371	ENSG00000011198.7	ABHD5	19.3805	0.970391
X	-	8528874	8732186	ENSG00000011201.11	ANOS1	0.257078	1
19	-	15380048	15419141	ENSG00000011243.17	AKAP8L	20.0233	0.701075
17	-	51177425	51260163	ENSG00000011258.15	MBTD1	5.31092	0.230901
17	+	51260528	51297936	ENSG00000011260.13	UTP18	27.1303	0.961117
7	-	5620047	5781739	ENSG00000011275.18	RNF216	71.7051	0.905345
17	+	15999380	16045015	ENSG00000011295.15	TTC19	5.04953	0.671348
19	+	797075	812327	ENSG00000011304.18	PTBP1	163.329	0.89552
19	-	38211006	38229714	ENSG00000011332.19	DPF1	0.369374	0.452041
11	-	61515313	61581148	ENSG00000011347.9	SYT7	0.575631	1
3	+	45388506	45549421	ENSG00000011376.9	LARS2	21.0419	0.92781
11	-	17077730	17207983	ENSG00000011405.13	PIK3C2A	39.1523	0.725055
19	-	43646095	43670547	ENSG00000011422.11	PLAUR	36.1272	0.953695
7	+	36389806	36453791	ENSG00000011426.10	ANLN	28.7332	0.79211
19	-	15419980	15449951	ENSG00000011451.17	WIZ	19.1965	0.293269
9	+	122940833	123104866	ENSG00000011454.16	RABGAP1	267.439	0.795482
19	+	45692483	45703989	ENSG00000011478.11	QPCTL	5.21397	0.732213
19	+	46346994	46392981	ENSG00000011485.14	PPP5C	51.1522	0.960301
2	+	65056366	65087004	ENSG00000011523.13	CEP68	25.6851	0.91567
2	-	39249266	39437312	ENSG00000011566.14	MAP4K3	16.3055	0.640762
19	+	35704527	35717038	ENSG00000011590.13	ZBTB32	0.0670638	1
19	-	35904401	35908295	ENSG00000011600.11	TYROBP	0	1
16	+	21158377	21180616	ENSG00000011638.10	TMEM159	10.1051	0.933979
X	-	152166234	152451358	ENSG00000011677.12	GABRA3	0.0590464	1
17	-	43044295	43170245	ENSG00000012048.20	BRCA1	11.6106	0.861412
19	-	45407333	45478828	ENSG00000012061.15	ERCC1	72.2563	0.957973
19	+	35319261	35347355	ENSG00000012124.15	CD22	0.134956	1
3	+	50267558	50277546	ENSG00000012171.18	SEMA3B	22.2563	0.839467
X	+	21839636	21885424	ENSG00000012174.11	MBTPS2	47.4476	0.927528
X	-	49175264	49186528	ENSG00000012211.12	PRICKLE3	4.17103	0.792589
3	-	46435645	46485234	ENSG00000012223.12	LTF	0	1
8	+	28600469	28755599	ENSG00000012232.8	EXTL3	61.2452	0.981971
12	+	100473708	100564413	ENSG00000012504.13	NR1H4	0	1
6	-	53267398	53349179	ENSG00000012660.13	ELOVL5	130.208	0.956488
10	+	45374176	45446119	ENSG00000012779.10	ALOX5	0.0726525	1
12	-	53708517	53727745	ENSG00000012822.15	CALCOCO1	138.216	0.89396
14	+	93207056	93229215	ENSG00000012963.14	UBR7	33.4522	0.934239
14	-	50418501	50561126	ENSG00000012983.11	MAP4K5	0.918306	0.00844314
2	+	31234337	31269447	ENSG00000013016.15	EHD3	61.1186	0.972366
19	+	39971005	39981441	ENSG00000013275.7	PSMC4	55.8715	0.953802
4	+	6575175	6623362	ENSG00000013288.8	MAN2B2	148.61	0.850548
3	-	170459584	170586074	ENSG00000013293.5	SLC7A14	6.18155	0.992383
3	+	170418865	170860380	ENSG00000013297.10	CLDN11	162.716	0.995576
17	-	44319625	44324870	ENSG00000013306.15	SLC25A39	32.0386	0.870932
16	+	29820394	29848039	ENSG00000013364.18	MVP	221.444	0.852637
7	+	151341699	151378449	ENSG00000013374.15	NUB1	67.0757	0.860585
6	-	83161150	83193936	ENSG00000013375.15	PGM3	67.6687	0.850149
6	+	83193379	83198932	ENSG00000013392.7	RWDD2A	4.79634	0.400088
2	-	200853009	200864744	ENSG00000013441.15	CLK1	9.64932	0.909835
12	+	106357658	106510198	ENSG00000013503.9	POLR3B	11.5274	0.900718
14	-	76786178	76826246	ENSG00000013523.9	ANGEL1	18.7717	0.931563
5	+	141958328	141990291	ENSG00000013561.17	RNF14	37.626	0.94275
X	-	154401238	154412112	ENSG00000013563.13	DNASE1L1	5.49882	0.77109
12	+	31073845	31104791	ENSG00000013573.16	DDX11	3.97728	0.645143
12	-	12974864	13000273	ENSG00000013583.8	HEBP1	53.8515	0.96635
12	+	12890782	12917937	ENSG00000013588.6	GPRC5A	7.75526	0.904361
X	+	150361422	150514178	ENSG00000013619.13	MAMLD1	43.7142	0.744677
11	+	60971680	61020377	ENSG00000013725.14	CD6	0	1
4	+	1721490	1745176	ENSG00000013810.18	TACC3	15.4248	0.874554
6	+	96521595	96555276	ENSG00000014123.9	UFL1	41.3573	0.79935
11	+	65261762	65305589	ENSG00000014138.8	POLA2	5.95682	0.880029
8	-	143437655	143541453	ENSG00000014164.6	ZC3H3	17.1967	0.848382
11	+	65180566	65212006	ENSG00000014216.15	CAPN1	90.9236	0.879781
3	+	132317367	132368298	ENSG00000014257.15	ACPP	0.13362	1
2	+	63588609	63607197	ENSG00000014641.17	MDH1	87.6953	0.988578
4	+	41990472	42090457	ENSG00000014824.13	SLC30A9	32.6829	0.93706
1	-	149928651	149936898	ENSG00000014914.19	MTMR11	2.93456	0.430439
10	-	99711844	99732100	ENSG00000014919.12	COX15	7.91626	0.422777
14	-	91271323	91417844	ENSG00000015133.18	CCDC88C	0.0724897	1
12	-	42157104	42238349	ENSG00000015153.14	YAF2	7.94395	0.724694
10	+	134465	254637	ENSG00000015171.18	ZMYND11	114.369	0.91218
X	+	48676596	48691427	ENSG00000015285.10	WAS	0.395628	0.955076
16	+	89613308	89638456	ENSG00000015413.9	DPEP1	0	1
22	-	17734138	17774770	ENSG00000015475.18	BID	22.9755	0.985566
5	+	139293648	139331359	ENSG00000015479.17	MATR3	229.14	0.917975
7	-	44512535	44541315	ENSG00000015520.14	NPC1L1	0.0279457	1
17	+	50346092	50363138	ENSG00000015532.9	XYLT2	18.8595	0.719637
2	+	109792758	109857695	ENSG00000015568.12	RGPD5	10.9048	0.597091
8	-	27235323	27258420	ENSG00000015592.16	STMN4	0.016766	1
7	-	44379121	44490880	ENSG00000015676.17	NUDCD3	15.725	0.956547
5	+	51383391	51394738	ENSG00000016082.14	ISL1	0	1
3	-	53812335	53846390	ENSG00000016391.10	CHDH	1.78906	0.537144
6	-	136999971	137045180	ENSG00000016402.13	IL20RA	0.616871	0.985527
1	+	86468368	86500289	ENSG00000016490.15	CLCA1	0.0111773	1
1	+	86547078	86580754	ENSG00000016602.9	CLCA4	0	1
3	-	52694485	52706083	ENSG00000016864.17	GLT8D1	65.3691	0.906888
