chr	strand	start	end	gene_id	gene_symbol	omega
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.152527
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	11.6662
3	+	50088908	50119021	ENSG00000003756.16	RBM5	81.3861
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.676192
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.101685
7	+	127588345	127591705	ENSG00000004059.10	ARF5	47.1646
17	+	28364356	28404049	ENSG00000004139.13	SARM1	4.6335
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	116.752
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	0.0687557
1	-	33007940	33080996	ENSG00000004455.16	AK2	250.337
4	+	15778275	15853230	ENSG00000004468.12	CD38	12.6357
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	170.628
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	118.353
3	+	49940007	50100045	ENSG00000004534.14	RBM6	59.3022
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	1.64602
12	-	21468911	21501669	ENSG00000004700.15	RECQL	62.027
7	+	93232340	93361121	ENSG00000004766.15	VPS50	12.733
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	0.0138522
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	0
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	77.4024
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.246896
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0214513
X	-	25003694	25016420	ENSG00000004848.7	ARX	0.0152927
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	11.9649
7	+	116953238	117230103	ENSG00000004866.19	ST7	56.604
17	-	47117703	47189422	ENSG00000004897.11	CDC27	90.393
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.14243
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0
X	+	11111301	11123078	ENSG00000004961.14	HCCS	24.2554
17	-	7225341	7234545	ENSG00000004975.11	DVL2	37.2692
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0
19	+	18831938	18868236	ENSG00000005007.12	UPF1	0
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	27.8837
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	225.846
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	31.072
7	-	27181510	27185223	ENSG00000005073.5	HOXA11	0
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	50.4755
17	-	5440912	5469060	ENSG00000005100.12	DHX33	38.8958
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.0137645
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0
17	+	34980494	35009743	ENSG00000005156.11	LIG3	28.3519
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	33.7126
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	8.39007
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	4.53777
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	33.6391
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	10.613
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	0.8966
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	0.307672
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	0.149899
X	+	11758159	11775753	ENSG00000005302.17	MSL3	76.4602
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	66.6744
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	0.616448
17	-	58269856	58280935	ENSG00000005381.7	MPO	0
7	-	95297676	95324707	ENSG00000005421.8	PON1	0
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	9.21885
2	+	74421678	74425755	ENSG00000005448.16	WDR54	24.3687
7	+	87345681	87399795	ENSG00000005469.11	CROT	8.05002
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	2.67883
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	41.1225
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	16.0297
16	+	981808	986979	ENSG00000005513.9	SOX8	0
6	-	82169983	82247754	ENSG00000005700.14	IBTK	50.9149
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	20.8442
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	74.2062
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	23.9238
16	+	30472658	30523185	ENSG00000005844.17	ITGAL	8.50334
17	+	50094737	50112152	ENSG00000005882.11	PDK2	1.43556
17	+	50055968	50090481	ENSG00000005884.17	ITGA3	0.819616
X	+	24149173	24216255	ENSG00000005889.15	ZFX	16.0279
X	-	120427827	120469365	ENSG00000005893.15	LAMP2	80.7317
17	-	44372180	44389505	ENSG00000005961.17	ITGA2B	0
7	+	95478444	95540232	ENSG00000005981.12	ASB4	0.345319
16	-	19501689	19522145	ENSG00000006007.11	GDE1	22.1296
19	+	18588685	18592336	ENSG00000006015.17	C19orf60	5.78529
19	-	18572220	18607741	ENSG00000006016.10	CRLF1	0
17	-	47807372	47821834	ENSG00000006025.11	OSBPL7	1.64578
17	+	32927910	32945106	ENSG00000006042.11	TMEM98	0
17	-	7288252	7294615	ENSG00000006047.12	YBX2	0
17	-	41346092	41350812	ENSG00000006059.3	KRT33A	0
17	-	45263121	45317040	ENSG00000006062.13	MAP3K14	27.1047
11	-	17392885	17476845	ENSG00000006071.12	ABCC8	0
16	+	24255553	24362801	ENSG00000006116.3	CACNG3	0.146592
11	+	60924463	60937159	ENSG00000006118.14	TMEM132A	4.20993
17	+	35578046	35726409	ENSG00000006125.16	AP2B1	204.226
7	+	97731908	97740472	ENSG00000006128.11	TAC1	0
16	+	3263800	3301401	ENSG00000006194.9	ZNF263	21.668
16	+	57372458	57385048	ENSG00000006210.6	CX3CL1	0.214235
17	+	50543058	50555852	ENSG00000006282.20	SPATA20	0.513883
17	+	50561068	50627474	ENSG00000006283.17	CACNA1G	0.379622
16	+	3018445	3022383	ENSG00000006327.13	TNFRSF12A	0.220795
7	+	97005548	97011039	ENSG00000006377.10	DLX6	0
14	-	70722526	70809534	ENSG00000006432.15	MAP3K9	10.5297
7	+	39623483	39708124	ENSG00000006451.7	RALA	52.7501
7	-	98291651	98401068	ENSG00000006453.13	BAIAP2L1	8.54007
7	-	140084746	140177035	ENSG00000006459.10	KDM7A	1.27496
7	-	13891228	13991425	ENSG00000006468.13	ETV1	0
7	+	141551189	141655244	ENSG00000006530.15	AGK	59.3027
11	+	68008578	68029282	ENSG00000006534.15	ALDH3B1	0.0415138
1	-	54779712	54801267	ENSG00000006555.10	TTC22	0.922354
7	+	77798792	77957503	ENSG00000006576.16	PHTF2	41.9793
7	-	75769533	75789896	ENSG00000006606.8	CCL26	0
2	+	241356243	241494841	ENSG00000006607.13	FARP2	42.4796
11	-	17493895	17544416	ENSG00000006611.15	USH1C	0
7	-	30496621	30504844	ENSG00000006625.17	GGCT	38.9685
7	+	87876216	87909541	ENSG00000006634.7	DBF4	0.282252
19	-	3594506	3606840	ENSG00000006638.11	TBXA2R	0.118429
7	+	112422968	112481017	ENSG00000006652.13	IFRD1	23.4488
19	+	39704306	39709444	ENSG00000006659.12	LGALS14	0.236276
17	+	14069496	14208677	ENSG00000006695.10	COX10	27.3855
7	+	74453790	74602604	ENSG00000006704.10	GTF2IRD1	3.34991
19	-	39385852	39391195	ENSG00000006712.14	PAF1	54.1948
7	-	38722963	38932394	ENSG00000006715.15	VPS41	48.2827
17	+	12789539	12991643	ENSG00000006740.16	ARHGAP44	1.93931
17	-	12992391	13018187	ENSG00000006744.18	ELAC2	67.4908
7	+	12570577	12660179	ENSG00000006747.14	SCIN	0.954962
X	-	2903970	2929351	ENSG00000006756.15	ARSD	0
X	-	7898247	7927739	ENSG00000006757.11	PNPLA4	9.95845
17	-	10298084	10373130	ENSG00000006788.12	MYH13	0
12	+	1688574	1788678	ENSG00000006831.9	ADIPOR2	32.5149
5	-	134286350	134371047	ENSG00000006837.11	CDKL3	0
2	+	157876702	158136154	ENSG00000007001.12	UPP2	0
16	+	2817180	2826304	ENSG00000007038.10	PRSS21	0.162902
19	+	45079288	45305283	ENSG00000007047.14	MARK4	20.4416
4	-	15963076	16084378	ENSG00000007062.11	PROM1	0
19	+	17933016	17943991	ENSG00000007080.10	CCDC124	43.3266
19	+	41549518	41586844	ENSG00000007129.17	CEACAM21	0.306013
17	+	2593210	2685615	ENSG00000007168.12	PAFAH1B1	117.752
17	-	27756766	27800499	ENSG00000007171.16	NOS2	0
17	+	11598431	11969748	ENSG00000007174.17	DNAH9	0
17	-	28614440	28645454	ENSG00000007202.14	KIAA0100	46.8069
17	+	28473293	28497781	ENSG00000007216.14	SLC13A2	0
17	-	9910609	10198551	ENSG00000007237.18	GAS7	18.6694
19	-	45162928	45178237	ENSG00000007255.10	TRAPPC6A	23.1256
19	-	3777970	3802129	ENSG00000007264.14	MATK	0.62711
19	-	41673307	41706976	ENSG00000007306.14	CEACAM7	0
17	-	63928740	63932354	ENSG00000007312.12	CD79B	54.3268
17	-	63938554	63972918	ENSG00000007314.11	SCN4A	0
1	-	112523518	112620825	ENSG00000007341.18	ST7L	1.20543
X	+	154295671	154330350	ENSG00000007350.16	TKTL1	0
11	-	31784792	31817961	ENSG00000007372.20	PAX6	0
16	-	784974	788397	ENSG00000007376.7	RPUSD1	20.8488
16	-	58059	76355	ENSG00000007384.15	RHBDF1	0
16	-	188969	229463	ENSG00000007392.16	LUC7L	15.2495
3	-	50362799	50504244	ENSG00000007402.11	CACNA2D2	0
16	+	1333601	1349441	ENSG00000007516.13	BAIAP3	0.00196877
16	-	1349240	1351911	ENSG00000007520.3	TSR3	21.4257
16	+	566995	584136	ENSG00000007541.16	PIGQ	8.72246
16	+	1612325	1677908	ENSG00000007545.15	CRAMP1	0.209489
6	-	35473597	35497076	ENSG00000007866.18	TEAD3	0.00713806
1	-	169722641	169764705	ENSG00000007908.15	SELE	0
1	-	6634168	6701924	ENSG00000007923.15	DNAJC11	54.1088
1	+	171090877	171117819	ENSG00000007933.12	FMO3	0
6	+	16129125	16148248	ENSG00000007944.14	MYLIP	8.93715
X	-	100843324	100874345	ENSG00000007952.17	NOX1	0.240879
1	-	23506430	23531220	ENSG00000007968.6	E2F2	2.6224
6	-	170535117	170553341	ENSG00000008018.8	PSMB1	137.954
X	-	47571898	47619853	ENSG00000008056.12	SYN1	0.381317
6	+	15246296	15522040	ENSG00000008083.13	JARID2	28.2418
X	+	18425583	18653629	ENSG00000008086.11	CDKL5	3.68679
1	+	209583717	209613938	ENSG00000008118.9	CAMK1G	0.0458292
1	-	1702730	1724324	ENSG00000008128.22	CDK11A	1.59602
1	-	1751232	1780457	ENSG00000008130.15	NADK	62.8
6	+	50818723	50847613	ENSG00000008196.12	TFAP2B	0
6	+	50713828	50772988	ENSG00000008197.4	TFAP2D	0
3	+	38039205	38124025	ENSG00000008226.19	DLEC1	0
7	-	6161776	6272644	ENSG00000008256.15	CYTH3	33.9202
7	+	87934143	88202889	ENSG00000008277.14	ADAM22	8.37748
7	-	106090503	106112576	ENSG00000008282.8	SYPL1	41.6502
17	-	63432304	63446378	ENSG00000008283.15	CYB561	5.91253
17	-	50962174	51120865	ENSG00000008294.20	SPAG9	99.2783
3	-	48636469	48662915	ENSG00000008300.15	CELSR3	0
7	-	122075647	122144280	ENSG00000008311.14	AASS	0
12	+	6310436	6328506	ENSG00000008323.15	PLEKHG6	0.627452
3	+	42581840	42595114	ENSG00000008324.10	SS18L2	27.3639
19	+	4343527	4360086	ENSG00000008382.15	MPND	10.4549
12	+	16347142	16609259	ENSG00000008394.12	MGST1	10.4967
12	-	106991364	107093829	ENSG00000008405.11	CRY1	2.3354
19	-	46019153	46023065	ENSG00000008438.4	PGLYRP1	0.0301645
19	+	12995608	13098796	ENSG00000008441.16	NFIX	2.02173
8	-	133454848	133571940	ENSG00000008513.14	ST3GAL1	7.03731
16	+	3046681	3060726	ENSG00000008516.16	MMP25	0.378815
16	+	3065297	3082192	ENSG00000008517.16	IL32	42.2138
16	-	2088710	2135898	ENSG00000008710.18	PKD1	0.0204255
22	+	50600685	50613981	ENSG00000008735.13	MAPK8IP2	0.0783686
17	-	40019097	40061215	ENSG00000008838.18	MED24	42.2551
8	+	22987417	23020199	ENSG00000008853.16	RHOBTB2	42.7316
2	-	36968383	37084342	ENSG00000008869.11	HEATR5B	13.6091
3	+	169966635	169998373	ENSG00000008952.16	SEC62	185.483
8	-	56067295	56074581	ENSG00000008988.9	RPS20	1405.33
1	-	114716913	114758676	ENSG00000009307.15	CSDE1	772.166
7	+	157138913	157269372	ENSG00000009335.17	UBE3C	85.2589
6	-	111299028	111483715	ENSG00000009413.15	REV3L	10.9683
X	-	124375903	124963817	ENSG00000009694.13	TENM1	0
1	+	18631006	18748866	ENSG00000009709.11	PAX7	0
1	-	11026523	11047233	ENSG00000009724.16	MASP2	0.713806
6	+	150368892	150405969	ENSG00000009765.14	IYD	0.0221689
1	+	27725979	27763122	ENSG00000009780.15	FAM76A	8.31746
1	+	209756032	209782320	ENSG00000009790.14	TRAF3IP3	25.9388
14	-	77274956	77320884	ENSG00000009830.11	POMT2	4.77059
6	+	142147162	142224689	ENSG00000009844.15	VTA1	72.3011
7	-	73593194	73624543	ENSG00000009950.15	MLXIPL	0
7	-	73440398	73522278	ENSG00000009954.10	BAZ1B	161.538
6	-	13621498	13711564	ENSG00000010017.12	RANBP9	68.6989
6	-	36354091	36387800	ENSG00000010030.13	ETV7	4.99414
1	+	231337104	231355023	ENSG00000010072.15	SPRTN	7.21113
1	+	171781664	171814023	ENSG00000010165.19	METTL13	40.8667
12	+	4562204	4615302	ENSG00000010219.13	DYRK4	2.35428
17	+	32350109	32381886	ENSG00000010244.17	ZNF207	208.718
3	-	48599002	48610976	ENSG00000010256.10	UQCRC1	85.3896
7	+	38178222	38230671	ENSG00000010270.13	STARD3NL	55.8698
12	+	6199715	6238271	ENSG00000010278.12	CD9	4.98576
3	-	42692663	42702827	ENSG00000010282.14	HHATL	0
12	+	6493356	6531955	ENSG00000010292.12	NCAPD2	65.9442
12	-	6538375	6556083	ENSG00000010295.19	IFFO1	3.46406
19	+	45668244	45683724	ENSG00000010310.8	GIPR	0.206792
3	+	52410657	52423641	ENSG00000010318.20	PHF7	0.266134
3	-	52433053	52445085	ENSG00000010319.6	SEMA3G	0
3	+	52455118	52493071	ENSG00000010322.15	NISCH	35.6817
3	+	52495338	52524495	ENSG00000010327.10	STAB1	0
19	-	49806869	49817376	ENSG00000010361.13	FUZ	2.34492
12	-	220621	262873	ENSG00000010379.15	SLC6A13	0
X	-	149476990	149521096	ENSG00000010404.17	IDS	150.541
9	+	33750466	33799231	ENSG00000010438.16	PRSS3	0
16	-	3222325	3236221	ENSG00000010539.11	ZNF200	10.781
12	+	6786858	6820808	ENSG00000010610.9	CD4	0.355896
12	+	6873569	6914243	ENSG00000010626.14	LRRC23	2.56331
X	-	101349447	101390796	ENSG00000010671.15	BTK	136.883
6	+	26087281	26098343	ENSG00000010704.18	HFE	1.71759
1	-	41027200	41242154	ENSG00000010803.16	SCMH1	19.647
6	-	111660332	111873452	ENSG00000010810.17	FYN	0.317646
6	-	142751467	142945201	ENSG00000010818.8	HIVEP2	3.31649
1	+	171248471	171285978	ENSG00000010932.15	FMO1	0
1	+	23743155	23762059	ENSG00000011007.12	TCEB3	72.9194
1	+	23790970	23795539	ENSG00000011009.10	LYPLA2	59.2552
1	+	11806096	11843144	ENSG00000011021.21	CLCN6	6.24831
17	+	62627401	62693597	ENSG00000011028.13	MRC2	0.324262
17	+	51153590	51171744	ENSG00000011052.21	NME1-NME2	26.7911
5	+	150189957	150222788	ENSG00000011083.8	SLC6A7	0
12	+	3077355	3286564	ENSG00000011105.11	TSPAN9	0.454229
14	-	93237550	93333092	ENSG00000011114.14	BTBD7	15.2605
19	-	3750819	3761699	ENSG00000011132.11	APBA3	12.1498
17	-	58205437	58219605	ENSG00000011143.16	MKS1	5.75066
3	+	43690113	43734371	ENSG00000011198.7	ABHD5	4.96016
X	-	8528874	8732186	ENSG00000011201.11	ANOS1	0.0169474
19	-	15380048	15419141	ENSG00000011243.17	AKAP8L	27.5562
17	-	51177425	51260163	ENSG00000011258.15	MBTD1	7.14582
17	+	51260528	51297936	ENSG00000011260.13	UTP18	58.7368
7	-	5620047	5781739	ENSG00000011275.18	RNF216	41.3086
17	+	15999380	16045015	ENSG00000011295.15	TTC19	4.83017
19	+	797075	812327	ENSG00000011304.18	PTBP1	314.465
19	-	38211006	38229714	ENSG00000011332.19	DPF1	0.26395
11	-	61515313	61581148	ENSG00000011347.9	SYT7	0
3	+	45388506	45549421	ENSG00000011376.9	LARS2	44.5943
11	-	17077730	17207983	ENSG00000011405.13	PIK3C2A	29.7159
19	-	43646095	43670547	ENSG00000011422.11	PLAUR	2.64117
7	+	36389806	36453791	ENSG00000011426.10	ANLN	16.5949
19	-	15419980	15449951	ENSG00000011451.17	WIZ	4.51292
9	+	122940833	123104866	ENSG00000011454.16	RABGAP1	35.6403
19	+	45692483	45703989	ENSG00000011478.11	QPCTL	5.18111
19	+	46346994	46392981	ENSG00000011485.14	PPP5C	65.3526
2	+	65056366	65087004	ENSG00000011523.13	CEP68	16.3911
2	-	39249266	39437312	ENSG00000011566.14	MAP4K3	2.25614
19	+	35704527	35717038	ENSG00000011590.13	ZBTB32	0
19	-	35904401	35908295	ENSG00000011600.11	TYROBP	0
16	+	21158377	21180616	ENSG00000011638.10	TMEM159	5.63221
X	-	152166234	152451358	ENSG00000011677.12	GABRA3	0.00692612
17	-	43044295	43170245	ENSG00000012048.20	BRCA1	27.6857
19	-	45407333	45478828	ENSG00000012061.15	ERCC1	44.1989
19	+	35319261	35347355	ENSG00000012124.15	CD22	157.111
3	+	50267558	50277546	ENSG00000012171.18	SEMA3B	0
X	+	21839636	21885424	ENSG00000012174.11	MBTPS2	21.695
X	-	49175264	49186528	ENSG00000012211.12	PRICKLE3	7.77004
3	-	46435645	46485234	ENSG00000012223.12	LTF	0.0242772
8	+	28600469	28755599	ENSG00000012232.8	EXTL3	22.4149
12	+	100473708	100564413	ENSG00000012504.13	NR1H4	0
6	-	53267398	53349179	ENSG00000012660.13	ELOVL5	142.619
10	+	45374176	45446119	ENSG00000012779.10	ALOX5	50.6945
12	-	53708517	53727745	ENSG00000012822.15	CALCOCO1	21.7434
14	+	93207056	93229215	ENSG00000012963.14	UBR7	67.8178
14	-	50418501	50561126	ENSG00000012983.11	MAP4K5	0.264927
2	+	31234337	31269447	ENSG00000013016.15	EHD3	0.34273
19	+	39971005	39981441	ENSG00000013275.7	PSMC4	67.4658
4	+	6575175	6623362	ENSG00000013288.8	MAN2B2	10.5082
3	-	170459584	170586074	ENSG00000013293.5	SLC7A14	0.13981
3	+	170418865	170860380	ENSG00000013297.10	CLDN11	0
17	-	44319625	44324870	ENSG00000013306.15	SLC25A39	92.1849
16	+	29820394	29848039	ENSG00000013364.18	MVP	93.2703
7	+	151341699	151378449	ENSG00000013374.15	NUB1	84.4067
6	-	83161150	83193936	ENSG00000013375.15	PGM3	22.722
6	+	83193379	83198932	ENSG00000013392.7	RWDD2A	2.85247
2	-	200853009	200864744	ENSG00000013441.15	CLK1	17.9326
12	+	106357658	106510198	ENSG00000013503.9	POLR3B	9.17432
14	-	76786178	76826246	ENSG00000013523.9	ANGEL1	24.0271
5	+	141958328	141990291	ENSG00000013561.17	RNF14	27.2826
X	-	154401238	154412112	ENSG00000013563.13	DNASE1L1	16.0542
12	+	31073845	31104791	ENSG00000013573.16	DDX11	15.4472
12	-	12974864	13000273	ENSG00000013583.8	HEBP1	0.106935
12	+	12890782	12917937	ENSG00000013588.6	GPRC5A	0.709347
X	+	150361422	150514178	ENSG00000013619.13	MAMLD1	0
11	+	60971680	61020377	ENSG00000013725.14	CD6	0
4	+	1721490	1745176	ENSG00000013810.18	TACC3	69.5851
6	+	96521595	96555276	ENSG00000014123.9	UFL1	53.9236
11	+	65261762	65305589	ENSG00000014138.8	POLA2	16.2739
8	-	143437655	143541453	ENSG00000014164.6	ZC3H3	12.5817
11	+	65180566	65212006	ENSG00000014216.15	CAPN1	118.3
3	+	132317367	132368298	ENSG00000014257.15	ACPP	0.703818
2	+	63588609	63607197	ENSG00000014641.17	MDH1	188.895
4	+	41990472	42090457	ENSG00000014824.13	SLC30A9	33.4888
1	-	149928651	149936898	ENSG00000014914.19	MTMR11	0
10	-	99711844	99732100	ENSG00000014919.12	COX15	37.5285
14	-	91271323	91417844	ENSG00000015133.18	CCDC88C	28.1382
12	-	42157104	42238349	ENSG00000015153.14	YAF2	13.2139
10	+	134465	254637	ENSG00000015171.18	ZMYND11	22.677
X	+	48676596	48691427	ENSG00000015285.10	WAS	73.4842
16	+	89613308	89638456	ENSG00000015413.9	DPEP1	0
22	-	17734138	17774770	ENSG00000015475.18	BID	94.3979
5	+	139293648	139331359	ENSG00000015479.17	MATR3	216.243
7	-	44512535	44541315	ENSG00000015520.14	NPC1L1	0.0412936
17	+	50346092	50363138	ENSG00000015532.9	XYLT2	10.4674
2	+	109792758	109857695	ENSG00000015568.12	RGPD5	0.214368
8	-	27235323	27258420	ENSG00000015592.16	STMN4	0.0423686
7	-	44379121	44490880	ENSG00000015676.17	NUDCD3	12.6094
5	+	51383391	51394738	ENSG00000016082.14	ISL1	0
3	-	53812335	53846390	ENSG00000016391.10	CHDH	8.11408
6	-	136999971	137045180	ENSG00000016402.13	IL20RA	0
1	+	86468368	86500289	ENSG00000016490.15	CLCA1	0
1	+	86547078	86580754	ENSG00000016602.9	CLCA4	0
3	-	52694485	52706083	ENSG00000016864.17	GLT8D1	20.2463
3	+	130850595	131016712	ENSG00000017260.19	ATP2C1	75.0441
12	-	102395867	102480645	ENSG00000017427.15	IGF1	0.399515
X	-	48458537	48470256	ENSG00000017483.14	SLC38A5	10.9212
18	+	9475009	9538116	ENSG00000017797.11	RALBP1	105.326
4	+	70704204	70807315	ENSG00000018189.12	RUFY3	9.09624
12	+	40692442	41072418	ENSG00000018236.14	CNTN1	0
2	+	218382029	218396894	ENSG00000018280.16	SLC11A1	0.297926
3	-	149517235	149736714	ENSG00000018408.14	WWTR1	0.344155
2	+	177392644	177559299	ENSG00000018510.13	AGPS	64.4789
X	-	119538149	119565408	ENSG00000018610.13	CXorf56	22.088
1	+	160115759	160143591	ENSG00000018625.14	ATP1A2	0
2	+	32628032	32821051	ENSG00000018699.11	TTC27	14.755
19	-	56375846	56393545	ENSG00000018869.16	ZNF582	0.801783
11	-	124747472	124752238	ENSG00000019102.11	VSIG2	0.0338949
11	+	118606440	118658038	ENSG00000019144.17	PHLDB1	0.0612655
2	+	118942166	118994660	ENSG00000019169.10	MARCO	0
20	-	54153449	54173973	ENSG00000019186.9	CYP24A1	0
11	+	45095806	45235124	ENSG00000019485.12	PRDM11	0.231825
11	-	45240301	45286319	ENSG00000019505.7	SYT13	0
8	-	48917690	48921740	ENSG00000019549.8	SNAI2	0.00754114
5	-	150401637	150412929	ENSG00000019582.14	CD74	3208.47
7	-	81699006	81770438	ENSG00000019991.15	HGF	0
10	+	124942123	124988189	ENSG00000019995.6	ZRANB1	23.4415
1	+	35557473	35567274	ENSG00000020129.15	NCDN	18.5769
8	+	37784191	37844896	ENSG00000020181.17	ADGRA2	0
20	-	52051663	52204308	ENSG00000020256.19	ZFP64	26.6394
14	+	60734742	60969953	ENSG00000020426.10	MNAT1	24.1108
14	+	54567097	54793315	ENSG00000020577.13	SAMD4A	7.39071
1	-	24899511	24965121	ENSG00000020633.18	RUNX3	262.541
11	-	94415578	94493908	ENSG00000020922.12	MRE11A	47.756
11	+	73646178	73662819	ENSG00000021300.13	PLEKHB1	0.5647
6	-	2832332	2842006	ENSG00000021355.12	SERPINB1	3.74632
7	+	99828013	99866102	ENSG00000021461.16	CYP3A43	0
19	-	32830509	32869766	ENSG00000021488.12	SLC7A9	0
2	+	32063611	32157637	ENSG00000021574.11	SPAST	10.2294
14	+	78170373	79868290	ENSG00000021645.18	NRXN3	0.036514
11	-	3087116	3166739	ENSG00000021762.19	OSBPL5	0
15	-	34851782	34969839	ENSG00000021776.10	AQR	30.3562
2	+	210477682	210679107	ENSG00000021826.14	CPS1	1.35476
1	-	56929210	56966140	ENSG00000021852.12	C8B	0
X	+	136146702	136211359	ENSG00000022267.16	FHL1	1.3608
20	+	56468585	56519449	ENSG00000022277.12	RTFDC1	87.74
5	+	161847063	161899981	ENSG00000022355.16	GABRA1	0
19	+	54953130	55001142	ENSG00000022556.15	NLRP2	1.23617
8	-	141207166	141308305	ENSG00000022567.9	SLC45A4	3.43313
12	+	120533480	120577594	ENSG00000022840.15	RNF10	97.6853
14	+	102317377	102342702	ENSG00000022976.15	ZNF839	4.69722
10	-	112424428	112446917	ENSG00000023041.11	ZDHHC6	20.3128
11	+	123358428	123627774	ENSG00000023171.15	GRAMD1B	8.90351
11	-	494512	507300	ENSG00000023191.16	RNH1	88.7425
2	-	206114817	206159603	ENSG00000023228.13	NDUFS1	82.5712
