chr	strand	start	end	gene_id	gene_symbol	omega
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0.0167286
12	-	8940363	8949955	ENSG00000003056.7	M6PR	93.0481
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.0519606
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0.392066
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.0172139
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	0.765598
2	-	201700554	201781189	ENSG00000003393.14	ALS2	15.3027
2	+	201182881	201229406	ENSG00000003400.14	CASP10	0.162775
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	47.8415
2	-	187464230	187565760	ENSG00000003436.14	TFPI	5.16558
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	4.44802
3	+	50088908	50119021	ENSG00000003756.16	RBM5	66.6292
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.333424
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.0279433
7	+	127588345	127591705	ENSG00000004059.10	ARF5	43.5652
17	+	28364356	28404049	ENSG00000004139.13	SARM1	6.77086
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	63.4553
3	-	129555175	129606818	ENSG00000004399.12	PLXND1	37.8632
1	-	33007940	33080996	ENSG00000004455.16	AK2	77.4986
4	+	15778275	15853230	ENSG00000004468.12	CD38	0.0101874
12	+	2794953	2805423	ENSG00000004478.7	FKBP4	45.7507
1	+	23019448	23083689	ENSG00000004487.15	KDM1A	73.6562
3	+	49940007	50100045	ENSG00000004534.14	RBM6	35.2327
17	-	3860315	3894891	ENSG00000004660.14	CAMKK1	4.76893
12	-	21468911	21501669	ENSG00000004700.15	RECQL	35.6075
7	+	93232340	93361121	ENSG00000004766.15	VPS50	14.0183
19	-	35754568	35758079	ENSG00000004776.11	HSPB6	43.7108
19	+	35774532	35788822	ENSG00000004777.18	ARHGAP33	0
16	-	23581002	23596356	ENSG00000004779.9	NDUFAB1	28.8362
7	-	95583499	95596491	ENSG00000004799.7	PDK4	0.0687076
6	-	110424687	110476641	ENSG00000004809.13	SLC22A16	0
3	-	50341110	50346852	ENSG00000004838.13	ZMYND10	0.142834
7	+	20615207	20777038	ENSG00000004846.16	ABCB5	0.0167663
X	-	25003694	25016420	ENSG00000004848.7	ARX	0
7	-	96120220	96322147	ENSG00000004864.13	SLC25A13	4.25668
7	+	116953238	117230103	ENSG00000004866.19	ST7	13.4806
17	-	47117703	47189422	ENSG00000004897.11	CDC27	33.8702
17	-	44248385	44268141	ENSG00000004939.13	SLC4A1	0.0414928
7	-	93424487	93574730	ENSG00000004948.13	CALCR	0
X	+	11111301	11123078	ENSG00000004961.14	HCCS	17.9745
17	-	7225341	7234545	ENSG00000004975.11	DVL2	27.4203
16	-	2852727	2858170	ENSG00000005001.9	PRSS22	0
19	+	18831938	18868236	ENSG00000005007.12	UPF1	65.2698
7	-	26667062	26995239	ENSG00000005020.12	SKAP2	13.6681
X	+	119468400	119471319	ENSG00000005022.5	SLC25A5	74.3004
4	+	109560205	109688726	ENSG00000005059.15	CCDC109B	3.62263
7	-	27181510	27185223	ENSG00000005073.5	HOXA11	2.00559
7	-	102473118	102478907	ENSG00000005075.15	POLR2J	37.6398
17	-	5440912	5469060	ENSG00000005100.12	DHX33	16.5084
17	-	43640388	43661954	ENSG00000005102.12	MEOX1	0.0614752
7	-	11370357	11832198	ENSG00000005108.15	THSD7A	0.0572044
17	+	34980494	35009743	ENSG00000005156.11	LIG3	13.5307
12	-	47661249	47706061	ENSG00000005175.9	RPAP3	15.3745
16	+	20610243	20797581	ENSG00000005187.11	ACSM3	0.134431
16	+	20806429	20849668	ENSG00000005189.19	AC004381.6	0.736474
16	-	57428169	57447528	ENSG00000005194.14	CIAPIN1	26.2487
19	+	2328615	2354806	ENSG00000005206.16	SPPL2B	19.8467
9	-	35104112	35116341	ENSG00000005238.19	FAM214B	10.0886
17	-	48026167	48038030	ENSG00000005243.9	COPZ2	20.6372
7	+	107044649	107161811	ENSG00000005249.12	PRKAR2B	2.54734
X	+	11758159	11775753	ENSG00000005302.17	MSL3	16.4385
16	-	3725054	3880726	ENSG00000005339.14	CREBBP	83.8721
17	-	58301228	58328760	ENSG00000005379.15	TSPOAP1	0.313155
17	-	58269856	58280935	ENSG00000005381.7	MPO	0.0130697
7	-	95297676	95324707	ENSG00000005421.8	PON1	0
2	-	75652000	75710989	ENSG00000005436.13	GCFC2	3.69725
2	+	74421678	74425755	ENSG00000005448.16	WDR54	6.5145
7	+	87345681	87399795	ENSG00000005469.11	CROT	8.68129
7	-	87401697	87480435	ENSG00000005471.15	ABCB4	0.925894
7	+	105014179	105114361	ENSG00000005483.20	KMT2E	46.275
7	+	75842602	75888926	ENSG00000005486.16	RHBDD2	20.1952
16	+	981808	986979	ENSG00000005513.9	SOX8	0.0494222
6	-	82169983	82247754	ENSG00000005700.14	IBTK	31.0539
11	-	3339261	3379222	ENSG00000005801.16	ZNF195	6.43765
13	-	77044655	77327050	ENSG00000005810.17	MYCBP2	36.0334
13	-	76992598	77027195	ENSG00000005812.10	FBXL3	21.9968
16	+	30472658	30523185	ENSG00000005844.17	ITGAL	0.0217961
17	+	50094737	50112152	ENSG00000005882.11	PDK2	19.8342
17	+	50055968	50090481	ENSG00000005884.17	ITGA3	16.1588
X	+	24149173	24216255	ENSG00000005889.15	ZFX	10.2287
X	-	120427827	120469365	ENSG00000005893.15	LAMP2	145.761
17	-	44372180	44389505	ENSG00000005961.17	ITGA2B	0.00981537
7	+	95478444	95540232	ENSG00000005981.12	ASB4	0.0236184
16	-	19501689	19522145	ENSG00000006007.11	GDE1	54.1219
19	+	18588685	18592336	ENSG00000006015.17	C19orf60	7.66134
19	-	18572220	18607741	ENSG00000006016.10	CRLF1	0.26873
17	-	47807372	47821834	ENSG00000006025.11	OSBPL7	1.2768
17	+	32927910	32945106	ENSG00000006042.11	TMEM98	88.3259
17	-	7288252	7294615	ENSG00000006047.12	YBX2	0
17	-	41346092	41350812	ENSG00000006059.3	KRT33A	0
17	-	45263121	45317040	ENSG00000006062.13	MAP3K14	5.08697
11	-	17392885	17476845	ENSG00000006071.12	ABCC8	0
16	+	24255553	24362801	ENSG00000006116.3	CACNG3	0
11	+	60924463	60937159	ENSG00000006118.14	TMEM132A	22.3565
17	+	35578046	35726409	ENSG00000006125.16	AP2B1	188.04
7	+	97731908	97740472	ENSG00000006128.11	TAC1	0
16	+	3263800	3301401	ENSG00000006194.9	ZNF263	15.1657
16	+	57372458	57385048	ENSG00000006210.6	CX3CL1	0.072155
17	+	50543058	50555852	ENSG00000006282.20	SPATA20	4.9703
17	+	50561068	50627474	ENSG00000006283.17	CACNA1G	0.269571
16	+	3018445	3022383	ENSG00000006327.13	TNFRSF12A	68.096
7	+	97005548	97011039	ENSG00000006377.10	DLX6	0.0141714
14	-	70722526	70809534	ENSG00000006432.15	MAP3K9	0.0670838
7	+	39623483	39708124	ENSG00000006451.7	RALA	45.6604
7	-	98291651	98401068	ENSG00000006453.13	BAIAP2L1	1.59245
7	-	140084746	140177035	ENSG00000006459.10	KDM7A	6.13489
7	-	13891228	13991425	ENSG00000006468.13	ETV1	3.74431
7	+	141551189	141655244	ENSG00000006530.15	AGK	18.7321
11	+	68008578	68029282	ENSG00000006534.15	ALDH3B1	7.88542
1	-	54779712	54801267	ENSG00000006555.10	TTC22	0.0168078
7	+	77798792	77957503	ENSG00000006576.16	PHTF2	20.6802
7	-	75769533	75789896	ENSG00000006606.8	CCL26	0.0708553
2	+	241356243	241494841	ENSG00000006607.13	FARP2	32.083
11	-	17493895	17544416	ENSG00000006611.15	USH1C	0
7	-	30496621	30504844	ENSG00000006625.17	GGCT	11.8786
7	+	87876216	87909541	ENSG00000006634.7	DBF4	0.0601165
19	-	3594506	3606840	ENSG00000006638.11	TBXA2R	0
7	+	112422968	112481017	ENSG00000006652.13	IFRD1	34.5589
19	+	39704306	39709444	ENSG00000006659.12	LGALS14	0.00944738
17	+	14069496	14208677	ENSG00000006695.10	COX10	9.34431
7	+	74453790	74602604	ENSG00000006704.10	GTF2IRD1	10.5139
19	-	39385852	39391195	ENSG00000006712.14	PAF1	40.8786
7	-	38722963	38932394	ENSG00000006715.15	VPS41	42.4668
17	+	12789539	12991643	ENSG00000006740.16	ARHGAP44	0.895928
17	-	12992391	13018187	ENSG00000006744.18	ELAC2	26.5566
7	+	12570577	12660179	ENSG00000006747.14	SCIN	0.735578
X	-	2903970	2929351	ENSG00000006756.15	ARSD	13.9477
X	-	7898247	7927739	ENSG00000006757.11	PNPLA4	4.38578
17	-	10298084	10373130	ENSG00000006788.12	MYH13	0.118666
12	+	1688574	1788678	ENSG00000006831.9	ADIPOR2	19.1395
5	-	134286350	134371047	ENSG00000006837.11	CDKL3	0.168647
2	+	157876702	158136154	ENSG00000007001.12	UPP2	0.00476044
16	+	2817180	2826304	ENSG00000007038.10	PRSS21	0
19	+	45079288	45305283	ENSG00000007047.14	MARK4	27.5531
4	-	15963076	16084378	ENSG00000007062.11	PROM1	0.0279432
19	+	17933016	17943991	ENSG00000007080.10	CCDC124	35.4528
19	+	41549518	41586844	ENSG00000007129.17	CEACAM21	0
17	+	2593210	2685615	ENSG00000007168.12	PAFAH1B1	112.259
17	-	27756766	27800499	ENSG00000007171.16	NOS2	0
17	+	11598431	11969748	ENSG00000007174.17	DNAH9	0
17	-	28614440	28645454	ENSG00000007202.14	KIAA0100	82.5795
17	+	28473293	28497781	ENSG00000007216.14	SLC13A2	0
17	-	9910609	10198551	ENSG00000007237.18	GAS7	32.529
19	-	45162928	45178237	ENSG00000007255.10	TRAPPC6A	2.88151
19	-	3777970	3802129	ENSG00000007264.14	MATK	0
19	-	41673307	41706976	ENSG00000007306.14	CEACAM7	0
17	-	63928740	63932354	ENSG00000007312.12	CD79B	0
17	-	63938554	63972918	ENSG00000007314.11	SCN4A	0
1	-	112523518	112620825	ENSG00000007341.18	ST7L	4.19052
X	+	154295671	154330350	ENSG00000007350.16	TKTL1	0
11	-	31784792	31817961	ENSG00000007372.20	PAX6	1.45143
16	-	784974	788397	ENSG00000007376.7	RPUSD1	11.213
16	-	58059	76355	ENSG00000007384.15	RHBDF1	21.0427
16	-	188969	229463	ENSG00000007392.16	LUC7L	16.2996
3	-	50362799	50504244	ENSG00000007402.11	CACNA2D2	0.0636374
16	+	1333601	1349441	ENSG00000007516.13	BAIAP3	0.078523
16	-	1349240	1351911	ENSG00000007520.3	TSR3	20.6672
16	+	566995	584136	ENSG00000007541.16	PIGQ	13.5168
16	+	1612325	1677908	ENSG00000007545.15	CRAMP1	4.45281
6	-	35473597	35497076	ENSG00000007866.18	TEAD3	19.8645
1	-	169722641	169764705	ENSG00000007908.15	SELE	0
1	-	6634168	6701924	ENSG00000007923.15	DNAJC11	44.2262
1	+	171090877	171117819	ENSG00000007933.12	FMO3	0.00326743
6	+	16129125	16148248	ENSG00000007944.14	MYLIP	4.98033
X	-	100843324	100874345	ENSG00000007952.17	NOX1	0.00472369
1	-	23506430	23531220	ENSG00000007968.6	E2F2	0
6	-	170535117	170553341	ENSG00000008018.8	PSMB1	83.2115
X	-	47571898	47619853	ENSG00000008056.12	SYN1	0.205848
6	+	15246296	15522040	ENSG00000008083.13	JARID2	7.55631
X	+	18425583	18653629	ENSG00000008086.11	CDKL5	6.99731
1	+	209583717	209613938	ENSG00000008118.9	CAMK1G	0
1	-	1702730	1724324	ENSG00000008128.22	CDK11A	1.83393
1	-	1751232	1780457	ENSG00000008130.15	NADK	45.0779
6	+	50818723	50847613	ENSG00000008196.12	TFAP2B	0
6	+	50713828	50772988	ENSG00000008197.4	TFAP2D	0
3	+	38039205	38124025	ENSG00000008226.19	DLEC1	0.0405388
7	-	6161776	6272644	ENSG00000008256.15	CYTH3	105.237
7	+	87934143	88202889	ENSG00000008277.14	ADAM22	0.539846
7	-	106090503	106112576	ENSG00000008282.8	SYPL1	40.9389
17	-	63432304	63446378	ENSG00000008283.15	CYB561	10.0342
17	-	50962174	51120865	ENSG00000008294.20	SPAG9	68.1458
3	-	48636469	48662915	ENSG00000008300.15	CELSR3	0.0972269
7	-	122075647	122144280	ENSG00000008311.14	AASS	3.10897
12	+	6310436	6328506	ENSG00000008323.15	PLEKHG6	0.251115
3	+	42581840	42595114	ENSG00000008324.10	SS18L2	3.6131
19	+	4343527	4360086	ENSG00000008382.15	MPND	4.45214
12	+	16347142	16609259	ENSG00000008394.12	MGST1	8.03475
12	-	106991364	107093829	ENSG00000008405.11	CRY1	13.9389
19	-	46019153	46023065	ENSG00000008438.4	PGLYRP1	0
19	+	12995608	13098796	ENSG00000008441.16	NFIX	72.2935
8	-	133454848	133571940	ENSG00000008513.14	ST3GAL1	39.5917
16	+	3046681	3060726	ENSG00000008516.16	MMP25	0.22388
16	+	3065297	3082192	ENSG00000008517.16	IL32	2.88401
16	-	2088710	2135898	ENSG00000008710.18	PKD1	0.799241
22	+	50600685	50613981	ENSG00000008735.13	MAPK8IP2	0.263628
17	-	40019097	40061215	ENSG00000008838.18	MED24	23.3148
8	+	22987417	23020199	ENSG00000008853.16	RHOBTB2	17.0451
2	-	36968383	37084342	ENSG00000008869.11	HEATR5B	9.81173
3	+	169966635	169998373	ENSG00000008952.16	SEC62	97.9944
8	-	56067295	56074581	ENSG00000008988.9	RPS20	567.118
1	-	114716913	114758676	ENSG00000009307.15	CSDE1	484.084
7	+	157138913	157269372	ENSG00000009335.17	UBE3C	71.9561
6	-	111299028	111483715	ENSG00000009413.15	REV3L	30.7307
X	-	124375903	124963817	ENSG00000009694.13	TENM1	0
1	+	18631006	18748866	ENSG00000009709.11	PAX7	0
1	-	11026523	11047233	ENSG00000009724.16	MASP2	0.48654
6	+	150368892	150405969	ENSG00000009765.14	IYD	0.0568708
1	+	27725979	27763122	ENSG00000009780.15	FAM76A	4.32604
1	+	209756032	209782320	ENSG00000009790.14	TRAF3IP3	0
14	-	77274956	77320884	ENSG00000009830.11	POMT2	0.197699
6	+	142147162	142224689	ENSG00000009844.15	VTA1	42.4519
7	-	73593194	73624543	ENSG00000009950.15	MLXIPL	0.0437823
7	-	73440398	73522278	ENSG00000009954.10	BAZ1B	126.225
6	-	13621498	13711564	ENSG00000010017.12	RANBP9	73.4259
6	-	36354091	36387800	ENSG00000010030.13	ETV7	0.801587
1	+	231337104	231355023	ENSG00000010072.15	SPRTN	8.02634
1	+	171781664	171814023	ENSG00000010165.19	METTL13	24.3331
12	+	4562204	4615302	ENSG00000010219.13	DYRK4	2.96159
17	+	32350109	32381886	ENSG00000010244.17	ZNF207	96.2007
3	-	48599002	48610976	ENSG00000010256.10	UQCRC1	42.5815
7	+	38178222	38230671	ENSG00000010270.13	STARD3NL	20.1927
12	+	6199715	6238271	ENSG00000010278.12	CD9	2.95834
3	-	42692663	42702827	ENSG00000010282.14	HHATL	0
12	+	6493356	6531955	ENSG00000010292.12	NCAPD2	22.3993
12	-	6538375	6556083	ENSG00000010295.19	IFFO1	8.54692
19	+	45668244	45683724	ENSG00000010310.8	GIPR	0
3	+	52410657	52423641	ENSG00000010318.20	PHF7	0.431762
3	-	52433053	52445085	ENSG00000010319.6	SEMA3G	0.0588922
3	+	52455118	52493071	ENSG00000010322.15	NISCH	67.3076
3	+	52495338	52524495	ENSG00000010327.10	STAB1	0.0074297
19	-	49806869	49817376	ENSG00000010361.13	FUZ	4.26618
12	-	220621	262873	ENSG00000010379.15	SLC6A13	0.00944738
X	-	149476990	149521096	ENSG00000010404.17	IDS	66.4379
9	+	33750466	33799231	ENSG00000010438.16	PRSS3	0
16	-	3222325	3236221	ENSG00000010539.11	ZNF200	5.24786
12	+	6786858	6820808	ENSG00000010610.9	CD4	0.0581104
12	+	6873569	6914243	ENSG00000010626.14	LRRC23	1.24441
X	-	101349447	101390796	ENSG00000010671.15	BTK	0
6	+	26087281	26098343	ENSG00000010704.18	HFE	8.96141
1	-	41027200	41242154	ENSG00000010803.16	SCMH1	26.2685
6	-	111660332	111873452	ENSG00000010810.17	FYN	55.0743
6	-	142751467	142945201	ENSG00000010818.8	HIVEP2	23.6448
1	+	171248471	171285978	ENSG00000010932.15	FMO1	0.007574
1	+	23743155	23762059	ENSG00000011007.12	TCEB3	52.6587
1	+	23790970	23795539	ENSG00000011009.10	LYPLA2	14.4191
1	+	11806096	11843144	ENSG00000011021.21	CLCN6	8.73812
17	+	62627401	62693597	ENSG00000011028.13	MRC2	402.736
17	+	51153590	51171744	ENSG00000011052.21	NME1-NME2	6.26366
5	+	150189957	150222788	ENSG00000011083.8	SLC6A7	0
12	+	3077355	3286564	ENSG00000011105.11	TSPAN9	40.2245
14	-	93237550	93333092	ENSG00000011114.14	BTBD7	28.7798
19	-	3750819	3761699	ENSG00000011132.11	APBA3	6.79517
17	-	58205437	58219605	ENSG00000011143.16	MKS1	3.98025
3	+	43690113	43734371	ENSG00000011198.7	ABHD5	11.3367
X	-	8528874	8732186	ENSG00000011201.11	ANOS1	0.0196307
19	-	15380048	15419141	ENSG00000011243.17	AKAP8L	15.1007
17	-	51177425	51260163	ENSG00000011258.15	MBTD1	5.31092
17	+	51260528	51297936	ENSG00000011260.13	UTP18	15.9238
7	-	5620047	5781739	ENSG00000011275.18	RNF216	49.4853
17	+	15999380	16045015	ENSG00000011295.15	TTC19	5.04953
19	+	797075	812327	ENSG00000011304.18	PTBP1	155.878
19	-	38211006	38229714	ENSG00000011332.19	DPF1	0.369374
11	-	61515313	61581148	ENSG00000011347.9	SYT7	0.575631
3	+	45388506	45549421	ENSG00000011376.9	LARS2	21.0419
11	-	17077730	17207983	ENSG00000011405.13	PIK3C2A	21.7042
19	-	43646095	43670547	ENSG00000011422.11	PLAUR	36.1272
7	+	36389806	36453791	ENSG00000011426.10	ANLN	14.2976
19	-	15419980	15449951	ENSG00000011451.17	WIZ	19.1965
9	+	122940833	123104866	ENSG00000011454.16	RABGAP1	76.9229
19	+	45692483	45703989	ENSG00000011478.11	QPCTL	4.79228
19	+	46346994	46392981	ENSG00000011485.14	PPP5C	43.1709
2	+	65056366	65087004	ENSG00000011523.13	CEP68	21.3269
2	-	39249266	39437312	ENSG00000011566.14	MAP4K3	12.6886
19	+	35704527	35717038	ENSG00000011590.13	ZBTB32	0.0197974
19	-	35904401	35908295	ENSG00000011600.11	TYROBP	0
16	+	21158377	21180616	ENSG00000011638.10	TMEM159	10.1051
X	-	152166234	152451358	ENSG00000011677.12	GABRA3	0.00472369
17	-	43044295	43170245	ENSG00000012048.20	BRCA1	4.97076
19	-	45407333	45478828	ENSG00000012061.15	ERCC1	66.4453
19	+	35319261	35347355	ENSG00000012124.15	CD22	0.02464
3	+	50267558	50277546	ENSG00000012171.18	SEMA3B	5.97902
X	+	21839636	21885424	ENSG00000012174.11	MBTPS2	25.0896
X	-	49175264	49186528	ENSG00000012211.12	PRICKLE3	4.02614
3	-	46435645	46485234	ENSG00000012223.12	LTF	0
8	+	28600469	28755599	ENSG00000012232.8	EXTL3	45.9642
12	+	100473708	100564413	ENSG00000012504.13	NR1H4	0
6	-	53267398	53349179	ENSG00000012660.13	ELOVL5	67.2411
10	+	45374176	45446119	ENSG00000012779.10	ALOX5	0
12	-	53708517	53727745	ENSG00000012822.15	CALCOCO1	100.787
14	+	93207056	93229215	ENSG00000012963.14	UBR7	29.6679
14	-	50418501	50561126	ENSG00000012983.11	MAP4K5	0.654939
2	+	31234337	31269447	ENSG00000013016.15	EHD3	18.4981
19	+	39971005	39981441	ENSG00000013275.7	PSMC4	47.7587
4	+	6575175	6623362	ENSG00000013288.8	MAN2B2	106.292
3	-	170459584	170586074	ENSG00000013293.5	SLC7A14	1.53809
3	+	170418865	170860380	ENSG00000013297.10	CLDN11	119.973
17	-	44319625	44324870	ENSG00000013306.15	SLC25A39	32.0386
16	+	29820394	29848039	ENSG00000013364.18	MVP	202.428
7	+	151341699	151378449	ENSG00000013374.15	NUB1	46.685
6	-	83161150	83193936	ENSG00000013375.15	PGM3	54.087
6	+	83193379	83198932	ENSG00000013392.7	RWDD2A	3.99303
2	-	200853009	200864744	ENSG00000013441.15	CLK1	4.62022
12	+	106357658	106510198	ENSG00000013503.9	POLR3B	11.1198
14	-	76786178	76826246	ENSG00000013523.9	ANGEL1	13.9652
5	+	141958328	141990291	ENSG00000013561.17	RNF14	34.7702
X	-	154401238	154412112	ENSG00000013563.13	DNASE1L1	5.49882
12	+	31073845	31104791	ENSG00000013573.16	DDX11	3.39655
12	-	12974864	13000273	ENSG00000013583.8	HEBP1	39.0324
12	+	12890782	12917937	ENSG00000013588.6	GPRC5A	1.3406
X	+	150361422	150514178	ENSG00000013619.13	MAMLD1	33.4497
11	+	60971680	61020377	ENSG00000013725.14	CD6	0
4	+	1721490	1745176	ENSG00000013810.18	TACC3	10.0166
6	+	96521595	96555276	ENSG00000014123.9	UFL1	19.4124
11	+	65261762	65305589	ENSG00000014138.8	POLA2	4.89311
8	-	143437655	143541453	ENSG00000014164.6	ZC3H3	10.4182
11	+	65180566	65212006	ENSG00000014216.15	CAPN1	90.9236
3	+	132317367	132368298	ENSG00000014257.15	ACPP	0.126373
2	+	63588609	63607197	ENSG00000014641.17	MDH1	56.7387
4	+	41990472	42090457	ENSG00000014824.13	SLC30A9	10.8868
1	-	149928651	149936898	ENSG00000014914.19	MTMR11	2.75519
10	-	99711844	99732100	ENSG00000014919.12	COX15	7.91626
14	-	91271323	91417844	ENSG00000015133.18	CCDC88C	0.0724897
12	-	42157104	42238349	ENSG00000015153.14	YAF2	3.6413
10	+	134465	254637	ENSG00000015171.18	ZMYND11	80.1635
X	+	48676596	48691427	ENSG00000015285.10	WAS	0.176301
16	+	89613308	89638456	ENSG00000015413.9	DPEP1	0
22	-	17734138	17774770	ENSG00000015475.18	BID	16.2181
5	+	139293648	139331359	ENSG00000015479.17	MATR3	162.521
7	-	44512535	44541315	ENSG00000015520.14	NPC1L1	0.0279457
17	+	50346092	50363138	ENSG00000015532.9	XYLT2	18.8595
2	+	109792758	109857695	ENSG00000015568.12	RGPD5	0.242736
8	-	27235323	27258420	ENSG00000015592.16	STMN4	0.00472369
7	-	44379121	44490880	ENSG00000015676.17	NUDCD3	15.725
5	+	51383391	51394738	ENSG00000016082.14	ISL1	0
3	-	53812335	53846390	ENSG00000016391.10	CHDH	0
6	-	136999971	137045180	ENSG00000016402.13	IL20RA	0.249634
1	+	86468368	86500289	ENSG00000016490.15	CLCA1	0
1	+	86547078	86580754	ENSG00000016602.9	CLCA4	0
3	-	52694485	52706083	ENSG00000016864.17	GLT8D1	55.689
3	+	130850595	131016712	ENSG00000017260.19	ATP2C1	63.539
12	-	102395867	102480645	ENSG00000017427.15	IGF1	0.0312402
X	-	48458537	48470256	ENSG00000017483.14	SLC38A5	5.87274
18	+	9475009	9538116	ENSG00000017797.11	RALBP1	90.1311
4	+	70704204	70807315	ENSG00000018189.12	RUFY3	21.8308
12	+	40692442	41072418	ENSG00000018236.14	CNTN1	0.0905533
2	+	218382029	218396894	ENSG00000018280.16	SLC11A1	0.182828
3	-	149517235	149736714	ENSG00000018408.14	WWTR1	105.751
2	+	177392644	177559299	ENSG00000018510.13	AGPS	18.9911
X	-	119538149	119565408	ENSG00000018610.13	CXorf56	12.0621
1	+	160115759	160143591	ENSG00000018625.14	ATP1A2	0.202104
2	+	32628032	32821051	ENSG00000018699.11	TTC27	12.1287
19	-	56375846	56393545	ENSG00000018869.16	ZNF582	1.69173
11	-	124747472	124752238	ENSG00000019102.11	VSIG2	0
11	+	118606440	118658038	ENSG00000019144.17	PHLDB1	20.2204
2	+	118942166	118994660	ENSG00000019169.10	MARCO	0.016766
20	-	54153449	54173973	ENSG00000019186.9	CYP24A1	0.00944738
11	+	45095806	45235124	ENSG00000019485.12	PRDM11	5.29527
11	-	45240301	45286319	ENSG00000019505.7	SYT13	0
8	-	48917690	48921740	ENSG00000019549.8	SNAI2	58.0996
5	-	150401637	150412929	ENSG00000019582.14	CD74	0.355839
7	-	81699006	81770438	ENSG00000019991.15	HGF	1.34691
10	+	124942123	124988189	ENSG00000019995.6	ZRANB1	29.4831
1	+	35557473	35567274	ENSG00000020129.15	NCDN	25.0184
8	+	37784191	37844896	ENSG00000020181.17	ADGRA2	158.341
20	-	52051663	52204308	ENSG00000020256.19	ZFP64	18.1342
14	+	60734742	60969953	ENSG00000020426.10	MNAT1	11.3146
14	+	54567097	54793315	ENSG00000020577.13	SAMD4A	51.8075
1	-	24899511	24965121	ENSG00000020633.18	RUNX3	5.56759
11	-	94415578	94493908	ENSG00000020922.12	MRE11A	10.2774
11	+	73646178	73662819	ENSG00000021300.13	PLEKHB1	0.262666
6	-	2832332	2842006	ENSG00000021355.12	SERPINB1	7.24047
7	+	99828013	99866102	ENSG00000021461.16	CYP3A43	0.00475231
19	-	32830509	32869766	ENSG00000021488.12	SLC7A9	0
2	+	32063611	32157637	ENSG00000021574.11	SPAST	7.75601
14	+	78170373	79868290	ENSG00000021645.18	NRXN3	0.0434789
11	-	3087116	3166739	ENSG00000021762.19	OSBPL5	29.1969
15	-	34851782	34969839	ENSG00000021776.10	AQR	19.0796
2	+	210477682	210679107	ENSG00000021826.14	CPS1	5.48469
1	-	56929210	56966140	ENSG00000021852.12	C8B	0
X	+	136146702	136211359	ENSG00000022267.16	FHL1	120.185
20	+	56468585	56519449	ENSG00000022277.12	RTFDC1	76.5826
5	+	161847063	161899981	ENSG00000022355.16	GABRA1	0
19	+	54953130	55001142	ENSG00000022556.15	NLRP2	0.00492846
8	-	141207166	141308305	ENSG00000022567.9	SLC45A4	5.06767
12	+	120533480	120577594	ENSG00000022840.15	RNF10	119.386
14	+	102317377	102342702	ENSG00000022976.15	ZNF839	3.14996
