chr	strand	gene_id	gene_symbol	omega_p2	rate_p2
2	+	ENSG00000003509.15	NDUFAF7	8.6274266	0.6295276
3	+	ENSG00000003756.16	RBM5	78.605086	0.60443372
8	-	ENSG00000003987.13	MTMR7	1.0388978	1
8	+	ENSG00000003989.16	SLC7A2	0.31441562	1
7	+	ENSG00000004059.10	ARF5	55.824728	0.97209416
17	+	ENSG00000004139.13	SARM1	6.8410534	0.34632782
17	-	ENSG00000004142.11	POLDIP2	67.860776	0.75766562
3	-	ENSG00000004399.12	PLXND1	0.1676552	0.85605666
1	-	ENSG00000004455.16	AK2	236.13428	0.9659132
4	+	ENSG00000004468.12	CD38	14.053496	0.85569214
12	+	ENSG00000004478.7	FKBP4	66.395098	0.66494438
1	+	ENSG00000004487.15	KDM1A	74.361858	0.71098266
3	+	ENSG00000004534.14	RBM6	44.310066	0.56837556
17	-	ENSG00000004660.14	CAMKK1	2.1657134	0.24898834
12	-	ENSG00000004700.15	RECQL	28.3403	0.38236478
7	+	ENSG00000004766.15	VPS50	14.02874	0.70611872
19	-	ENSG00000004776.11	HSPB6	0.69599698	1
19	+	ENSG00000004777.18	ARHGAP33	0	0
16	-	ENSG00000004779.9	NDUFAB1	44.358996	0.98033076
7	-	ENSG00000004799.7	PDK4	0.9760009	0.89990418
6	-	ENSG00000004809.13	SLC22A16	0	1
3	-	ENSG00000004838.13	ZMYND10	0.43483612	0.73060922
7	+	ENSG00000004846.16	ABCB5	0.19249284	1
X	-	ENSG00000004848.7	ARX	0	1
7	-	ENSG00000004864.13	SLC25A13	13.732028	0.6490697
7	+	ENSG00000004866.19	ST7	28.069276	0.69388198
17	-	ENSG00000004897.11	CDC27	45.6455	0.4640916
17	-	ENSG00000004939.13	SLC4A1	0.2006811	1
7	-	ENSG00000004948.13	CALCR	0	1
X	+	ENSG00000004961.14	HCCS	16.598366	0.782531
17	-	ENSG00000004975.11	DVL2	25.334254	0.60997924
16	-	ENSG00000005001.9	PRSS22	0	1
19	+	ENSG00000005007.12	UPF1	32.320446	0.47904416
7	-	ENSG00000005020.12	SKAP2	32.808678	0.87929578
X	+	ENSG00000005022.5	SLC25A5	249.32898	0.93537726
4	+	ENSG00000005059.15	CCDC109B	25.879992	0.88749412
7	-	ENSG00000005073.5	HOXA11	0	1
7	-	ENSG00000005075.15	POLR2J	30.745442	0.88762302
17	-	ENSG00000005100.12	DHX33	26.667118	0.57810144
17	-	ENSG00000005102.12	MEOX1	0.032197902	0.94030974
7	-	ENSG00000005108.15	THSD7A	0	1
17	+	ENSG00000005156.11	LIG3	16.463364	0.38598582
12	-	ENSG00000005175.9	RPAP3	19.922768	0.78153956
16	+	ENSG00000005187.11	ACSM3	2.0719832	0.33546942
16	+	ENSG00000005189.19	AC004381.6	4.1753606	0.35378766
16	-	ENSG00000005194.14	CIAPIN1	8.645619	0.24311634
19	+	ENSG00000005206.16	SPPL2B	15.269934	0.4459866
9	-	ENSG00000005238.19	FAM214B	2.5724806	0.1414742
17	-	ENSG00000005243.9	COPZ2	0.3416699	0.2509441
7	+	ENSG00000005249.12	PRKAR2B	0.15228142	1
X	+	ENSG00000005302.17	MSL3	50.205088	0.72957182
16	-	ENSG00000005339.14	CREBBP	56.2277	0.66504514
17	-	ENSG00000005379.15	TSPOAP1	3.3532256	0.1562192
17	-	ENSG00000005381.7	MPO	0	1
7	-	ENSG00000005421.8	PON1	0	1
2	-	ENSG00000005436.13	GCFC2	4.9530852	0.37215764
2	+	ENSG00000005448.16	WDR54	24.955152	0.65057186
7	+	ENSG00000005469.11	CROT	5.7953124	0.53141854
7	-	ENSG00000005471.15	ABCB4	2.8519722	0.2668966
7	+	ENSG00000005483.20	KMT2E	31.609514	0.3298447
7	+	ENSG00000005486.16	RHBDD2	8.0642798	0.88045942
16	+	ENSG00000005513.9	SOX8	0	1
6	-	ENSG00000005700.14	IBTK	17.483562	0.41813898
11	-	ENSG00000005801.16	ZNF195	18.403368	0.6176117
13	-	ENSG00000005810.17	MYCBP2	93.132612	0.32336826
13	-	ENSG00000005812.10	FBXL3	29.966242	0.72423144
16	+	ENSG00000005844.17	ITGAL	33.226972	0.48345272
17	+	ENSG00000005882.11	PDK2	1.3847004	0.75724972
17	+	ENSG00000005884.17	ITGA3	0.595482	0.6628303
X	+	ENSG00000005889.15	ZFX	22.67253	0.52930654
X	-	ENSG00000005893.15	LAMP2	77.038326	0.88372578
17	-	ENSG00000005961.17	ITGA2B	0	1
7	+	ENSG00000005981.12	ASB4	0.38596574	1
16	-	ENSG00000006007.11	GDE1	20.066922	0.98801696
19	+	ENSG00000006015.17	C19orf60	2.5574056	0.84437836
19	-	ENSG00000006016.10	CRLF1	0	1
17	-	ENSG00000006025.11	OSBPL7	3.1305482	0.13373406
17	+	ENSG00000006042.11	TMEM98	0.2444549	1
17	-	ENSG00000006047.12	YBX2	0	1
17	-	ENSG00000006059.3	KRT33A	0	1
17	-	ENSG00000006062.13	MAP3K14	5.1272294	0.20464156
11	-	ENSG00000006071.12	ABCC8	0	1
16	+	ENSG00000006116.3	CACNG3	0	1
11	+	ENSG00000006118.14	TMEM132A	2.0416438	0.75513622
17	+	ENSG00000006125.16	AP2B1	149.44708	0.8825085
7	+	ENSG00000006128.11	TAC1	0	1
16	+	ENSG00000006194.9	ZNF263	21.039992	0.43231798
16	+	ENSG00000006210.6	CX3CL1	0.40555588	0.99937848
17	+	ENSG00000006282.20	SPATA20	1.00706456	0.30811002
17	+	ENSG00000006283.17	CACNA1G	0.17405934	1
16	+	ENSG00000006327.13	TNFRSF12A	0.1650606	0.764151
7	+	ENSG00000006377.10	DLX6	0	1
14	-	ENSG00000006432.15	MAP3K9	11.96555	0.8828145
7	+	ENSG00000006451.7	RALA	36.611486	0.85936516
7	-	ENSG00000006453.13	BAIAP2L1	3.4068604	0.55771724
7	-	ENSG00000006459.10	KDM7A	0.52259736	0.69666428
7	-	ENSG00000006468.13	ETV1	0.027167822	1
7	+	ENSG00000006530.15	AGK	44.552626	0.64328748
11	+	ENSG00000006534.15	ALDH3B1	0.029894978	1
1	-	ENSG00000006555.10	TTC22	0.84031652	0.95267056
7	+	ENSG00000006576.16	PHTF2	28.3928	0.43291632
7	-	ENSG00000006606.8	CCL26	0	1
2	+	ENSG00000006607.13	FARP2	29.321244	0.83023536
11	-	ENSG00000006611.15	USH1C	0	1
7	-	ENSG00000006625.17	GGCT	24.534028	0.89577906
7	+	ENSG00000006634.7	DBF4	0.57551764	0.40919246
19	-	ENSG00000006638.11	TBXA2R	0.25173564	1
7	+	ENSG00000006652.13	IFRD1	25.026894	0.71222106
19	+	ENSG00000006659.12	LGALS14	0.90089646	0.9107942
17	+	ENSG00000006695.10	COX10	15.415636	0.57584744
7	+	ENSG00000006704.10	GTF2IRD1	1.6475462	0.6255663
19	-	ENSG00000006712.14	PAF1	30.44107	0.61977802
7	-	ENSG00000006715.15	VPS41	44.461702	0.55096982
17	+	ENSG00000006740.16	ARHGAP44	0.37918972	0.85659214
17	-	ENSG00000006744.18	ELAC2	27.41097	0.71133166
7	+	ENSG00000006747.14	SCIN	1.6752532	0.80793364
X	-	ENSG00000006756.15	ARSD	0.7275119	0.85435152
X	-	ENSG00000006757.11	PNPLA4	7.9761904	0.89992132
17	-	ENSG00000006788.12	MYH13	0	1
12	+	ENSG00000006831.9	ADIPOR2	0	0
5	-	ENSG00000006837.11	CDKL3	0.41166162	0.65901376
2	+	ENSG00000007001.12	UPP2	0	1
16	+	ENSG00000007038.10	PRSS21	0	0.56515314
19	+	ENSG00000007047.14	MARK4	15.559016	0.67829956
4	-	ENSG00000007062.11	PROM1	0	1
19	+	ENSG00000007080.10	CCDC124	24.456124	0.94658122
19	+	ENSG00000007129.17	CEACAM21	0.88823362	0.36310782
17	+	ENSG00000007168.12	PAFAH1B1	90.976332	0.94611186
17	-	ENSG00000007171.16	NOS2	0	1
17	+	ENSG00000007174.17	DNAH9	0	1
17	-	ENSG00000007202.14	KIAA0100	35.988514	0.24754776
17	+	ENSG00000007216.14	SLC13A2	0	1
17	-	ENSG00000007237.18	GAS7	6.5837352	0.8561593
19	-	ENSG00000007255.10	TRAPPC6A	24.27648	0.84095802
19	-	ENSG00000007264.14	MATK	0.052446784	0.48729202
19	-	ENSG00000007306.14	CEACAM7	0	1
17	-	ENSG00000007312.12	CD79B	67.203726	0.83846434
17	-	ENSG00000007314.11	SCN4A	0.46270884	1
1	-	ENSG00000007341.18	ST7L	1.5824474	0.63369572
X	+	ENSG00000007350.16	TKTL1	0	1
11	-	ENSG00000007372.20	PAX6	0.5792742	0.98089166
16	-	ENSG00000007376.7	RPUSD1	11.1682	0.65313136
16	-	ENSG00000007384.15	RHBDF1	0.22615598	0.59630802
16	-	ENSG00000007392.16	LUC7L	8.772436	0.8300506
3	-	ENSG00000007402.11	CACNA2D2	0.16372624	1
16	+	ENSG00000007516.13	BAIAP3	0.37582864	0.088223224
16	-	ENSG00000007520.3	TSR3	21.565184	0.71112974
16	+	ENSG00000007541.16	PIGQ	3.9425106	0.91362814
16	+	ENSG00000007545.15	CRAMP1	0.11681746	0.0051641104
6	-	ENSG00000007866.18	TEAD3	0.20618778	1
1	-	ENSG00000007908.15	SELE	0	1
1	-	ENSG00000007923.15	DNAJC11	29.690048	0.5368362
1	+	ENSG00000007933.12	FMO3	0	1
6	+	ENSG00000007944.14	MYLIP	8.7185606	0.36674682
X	-	ENSG00000007952.17	NOX1	0.074733106	1
1	-	ENSG00000007968.6	E2F2	2.802791	0.3878362
6	-	ENSG00000008018.8	PSMB1	126.19046	0.9228867
X	-	ENSG00000008056.12	SYN1	0.31332812	0.98402386
6	+	ENSG00000008083.13	JARID2	10.538884	0.3278067
X	+	ENSG00000008086.11	CDKL5	2.6693554	0.83118778
1	+	ENSG00000008118.9	CAMK1G	0	1
1	-	ENSG00000008128.22	CDK11A	1.3031116	0.043812214
1	-	ENSG00000008130.15	NADK	55.312748	0.56512652
6	+	ENSG00000008196.12	TFAP2B	0	1
6	+	ENSG00000008197.4	TFAP2D	0	1
3	+	ENSG00000008226.19	DLEC1	0.13107434	1
7	-	ENSG00000008256.15	CYTH3	6.681037	0.36332844
7	+	ENSG00000008277.14	ADAM22	10.808252	0.5292677
7	-	ENSG00000008282.8	SYPL1	33.172004	0.98313284
17	-	ENSG00000008283.15	CYB561	3.1585788	1
17	-	ENSG00000008294.20	SPAG9	54.00152	0.73196058
3	-	ENSG00000008300.15	CELSR3	0.53843298	0.21878118
7	-	ENSG00000008311.14	AASS	1.011351e-07	0.61654936
12	+	ENSG00000008323.15	PLEKHG6	0.661715	0.63635088
3	+	ENSG00000008324.10	SS18L2	26.557198	0.96587864
19	+	ENSG00000008382.15	MPND	6.6087986	0.59688778
12	+	ENSG00000008394.12	MGST1	0.60621562	0.9526317
12	-	ENSG00000008405.11	CRY1	0.73831758	0.79509926
19	-	ENSG00000008438.4	PGLYRP1	0.0401853	1
19	+	ENSG00000008441.16	NFIX	0.8586357	0.990151
8	-	ENSG00000008513.14	ST3GAL1	9.8591292	0.85163546
16	+	ENSG00000008516.16	MMP25	0	0
16	+	ENSG00000008517.16	IL32	19.20215	0.97390702
16	-	ENSG00000008710.18	PKD1	2.490409	0.024642014
22	+	ENSG00000008735.13	MAPK8IP2	0	0.99842376
17	-	ENSG00000008838.18	MED24	32.39105	0.4319984
8	+	ENSG00000008853.16	RHOBTB2	10.732538	0.49635926
2	-	ENSG00000008869.11	HEATR5B	24.12848	0.53718206
3	+	ENSG00000008952.16	SEC62	93.632884	0.86218316
1	-	ENSG00000009307.15	CSDE1	492.90432	0.79427694
7	+	ENSG00000009335.17	UBE3C	52.137934	0.70085028
6	-	ENSG00000009413.15	REV3L	13.808788	0.40112124
X	-	ENSG00000009694.13	TENM1	0	1
1	+	ENSG00000009709.11	PAX7	0	1
1	-	ENSG00000009724.16	MASP2	1.03181852	1
6	+	ENSG00000009765.14	IYD	0.4505049	1
1	+	ENSG00000009780.15	FAM76A	6.5045194	0.91124252
1	+	ENSG00000009790.14	TRAF3IP3	23.629946	0.75522282
14	-	ENSG00000009830.11	POMT2	2.484247	0.6695188
6	+	ENSG00000009844.15	VTA1	52.068602	0.98109398
7	-	ENSG00000009950.15	MLXIPL	0	1
7	-	ENSG00000009954.10	BAZ1B	86.446174	0.65353114
6	-	ENSG00000010017.12	RANBP9	44.70336	0.78275694
6	-	ENSG00000010030.13	ETV7	1.3810484	0.6705191
1	+	ENSG00000010072.15	SPRTN	5.5277202	0.9394145
1	+	ENSG00000010165.19	METTL13	31.07	0.76203584
12	+	ENSG00000010219.13	DYRK4	1.7505852	0.68122066
17	+	ENSG00000010244.17	ZNF207	203.2886	0.61741804
3	-	ENSG00000010256.10	UQCRC1	29.515306	0.78695622
7	+	ENSG00000010270.13	STARD3NL	35.75154	0.90901264
12	+	ENSG00000010278.12	CD9	1.4748366	0.9205452
3	-	ENSG00000010282.14	HHATL	0	1
12	+	ENSG00000010292.12	NCAPD2	31.150268	0.27438362
12	-	ENSG00000010295.19	IFFO1	4.030378	0.58994196
19	+	ENSG00000010310.8	GIPR	2.148808	0.041257514
3	+	ENSG00000010318.20	PHF7	0.00239816950948884	0.00102202984563174
3	-	ENSG00000010319.6	SEMA3G	0.044980376	1
3	+	ENSG00000010322.15	NISCH	49.963342	0.55731124
3	+	ENSG00000010327.10	STAB1	0.22397236	1
19	-	ENSG00000010361.13	FUZ	1.9554982	0.41797718
12	-	ENSG00000010379.15	SLC6A13	0	1
X	-	ENSG00000010404.17	IDS	109.84156	0.6832116
9	+	ENSG00000010438.16	PRSS3	0.036159818	0.8961778
16	-	ENSG00000010539.11	ZNF200	7.6774912	0.8874268
12	+	ENSG00000010610.9	CD4	0.43398294	0.81538124
12	+	ENSG00000010626.14	LRRC23	1.182519	0.42905458
X	-	ENSG00000010671.15	BTK	107.62888	0.73752128
6	+	ENSG00000010704.18	HFE	1.8112678	0.717264
1	-	ENSG00000010803.16	SCMH1	20.98863	0.50883348
6	-	ENSG00000010810.17	FYN	2.2562126	0.86427332
6	-	ENSG00000010818.8	HIVEP2	24.728014	0.39017144
1	+	ENSG00000010932.15	FMO1	0	1
1	+	ENSG00000011007.12	TCEB3	46.179614	0.67534872
1	+	ENSG00000011009.10	LYPLA2	34.664062	0.64973398
1	+	ENSG00000011021.21	CLCN6	6.4013438	0.091387092
17	+	ENSG00000011028.13	MRC2	0.29335294	0.2185167
17	+	ENSG00000011052.21	NME1-NME2	14.250864	0.97718442
5	+	ENSG00000011083.8	SLC6A7	0	1
12	+	ENSG00000011105.11	TSPAN9	0.41977854	0.96695704
14	-	ENSG00000011114.14	BTBD7	6.8128884	0.71112936
19	-	ENSG00000011132.11	APBA3	9.9589148	0.71552752
17	-	ENSG00000011143.16	MKS1	7.6787652	0.42452506
3	+	ENSG00000011198.7	ABHD5	5.1153338	0.8930874
X	-	ENSG00000011201.11	ANOS1	0	0.98820642
19	-	ENSG00000011243.17	AKAP8L	19.201488	0.55887848
17	-	ENSG00000011258.15	MBTD1	11.849948	0.3719509
17	+	ENSG00000011260.13	UTP18	46.170228	0.80296094
7	-	ENSG00000011275.18	RNF216	26.972286	0.29334874
17	+	ENSG00000011295.15	TTC19	5.1320412	0.67226672
19	+	ENSG00000011304.18	PTBP1	215.99896	0.79755802
19	-	ENSG00000011332.19	DPF1	0.17359648	0.69284868
11	-	ENSG00000011347.9	SYT7	0	1
3	+	ENSG00000011376.9	LARS2	21.019902	0.8587451
11	-	ENSG00000011405.13	PIK3C2A	13.918778	0.11088076
19	-	ENSG00000011422.11	PLAUR	1.5444228	0.92290016
7	+	ENSG00000011426.10	ANLN	13.839852	0.44541656
19	-	ENSG00000011451.17	WIZ	12.222494	0.28611956
9	+	ENSG00000011454.16	RABGAP1	30.182048	0.51975258
12	-	ENSG00000011465.16	DCN	2.5865422	0.96620294
19	+	ENSG00000011478.11	QPCTL	10.113203	0.47406922
19	+	ENSG00000011485.14	PPP5C	42.933664	0.8443931
2	+	ENSG00000011523.13	CEP68	12.052296	0.69321602
2	-	ENSG00000011566.14	MAP4K3	2.6789724	0.22681882
19	+	ENSG00000011590.13	ZBTB32	0.027027938	0.00050598712
19	-	ENSG00000011600.11	TYROBP	0.09255454	0.7734005
16	+	ENSG00000011638.10	TMEM159	7.2778058	0.8590369
X	-	ENSG00000011677.12	GABRA3	0	1
17	-	ENSG00000012048.20	BRCA1	20.316246	0.5101704
19	-	ENSG00000012061.15	ERCC1	33.979118	0.9222479
19	+	ENSG00000012124.15	CD22	186.65824	0.73547492
3	+	ENSG00000012171.18	SEMA3B	0.11906812	1
X	+	ENSG00000012174.11	MBTPS2	17.31554	0.82227268
X	-	ENSG00000012211.12	PRICKLE3	4.7540168	0.73736962
3	-	ENSG00000012223.12	LTF	0.047885692	0.86931214
8	+	ENSG00000012232.8	EXTL3	12.541804	0.95898772
12	+	ENSG00000012504.13	NR1H4	0	1
6	-	ENSG00000012660.13	ELOVL5	96.07199	0.92299862
10	+	ENSG00000012779.10	ALOX5	9.871905	0.63124136
12	-	ENSG00000012822.15	CALCOCO1	25.660568	0.75243728
14	+	ENSG00000012963.14	UBR7	50.06899	0.694652
14	-	ENSG00000012983.11	MAP4K5	0.07078987	0.00135022624
2	+	ENSG00000013016.15	EHD3	0.23124944	0.92145372
19	+	ENSG00000013275.7	PSMC4	37.916014	0.84775124
4	+	ENSG00000013288.8	MAN2B2	9.2870892	0.32344242
3	-	ENSG00000013293.5	SLC7A14	0.25559382	1
3	+	ENSG00000013297.10	CLDN11	0.089273252	1
17	-	ENSG00000013306.15	SLC25A39	48.43413	0.74011468
16	+	ENSG00000013364.18	MVP	54.23039	0.59727896
7	+	ENSG00000013374.15	NUB1	40.916996	0.73617492
6	-	ENSG00000013375.15	PGM3	14.033002	0.42782302
6	+	ENSG00000013392.7	RWDD2A	3.4029848	0.23710574
2	-	ENSG00000013441.15	CLK1	9.8873022	0.60048048
12	+	ENSG00000013503.9	POLR3B	4.356212	0.76841646
14	-	ENSG00000013523.9	ANGEL1	19.66897	0.79198904
5	+	ENSG00000013561.17	RNF14	28.39708	0.89164576
X	-	ENSG00000013563.13	DNASE1L1	10.457512	0.5951506
12	+	ENSG00000013573.16	DDX11	11.367866	0.3295391
12	-	ENSG00000013583.8	HEBP1	0.19315794	0.97361006
12	+	ENSG00000013588.6	GPRC5A	0.9275	1
X	+	ENSG00000013619.13	MAMLD1	0	1
11	+	ENSG00000013725.14	CD6	0.21020566	0.23906552
4	+	ENSG00000013810.18	TACC3	43.763712	0.72038394
6	+	ENSG00000014123.9	UFL1	38.215286	0.42122316
11	+	ENSG00000014138.8	POLA2	12.655974	0.74646812
8	-	ENSG00000014164.6	ZC3H3	11.0044832	0.4417433
11	+	ENSG00000014216.15	CAPN1	75.585844	0.72289754
3	+	ENSG00000014257.15	ACPP	0.3589112	0.91230992
2	+	ENSG00000014641.17	MDH1	188.13608	0.94013714
4	+	ENSG00000014824.13	SLC30A9	29.139304	0.64079042
1	-	ENSG00000014914.19	MTMR11	0	0.85917256
10	-	ENSG00000014919.12	COX15	34.895738	0.43685984
14	-	ENSG00000015133.18	CCDC88C	35.989618	0.53554628
12	-	ENSG00000015153.14	YAF2	12.675536	0.78309148
10	+	ENSG00000015171.18	ZMYND11	12.640658	0.43687934
X	+	ENSG00000015285.10	WAS	38.655448	0.58063452
16	+	ENSG00000015413.9	DPEP1	0	1
22	-	ENSG00000015475.18	BID	49.77037	0.9627485
5	+	ENSG00000015479.17	MATR3	217.15278	0.75253774
7	-	ENSG00000015520.14	NPC1L1	0	1
17	+	ENSG00000015532.9	XYLT2	7.1299238	0.34206882
2	+	ENSG00000015568.12	RGPD5	0.058601216	0.9991143
8	-	ENSG00000015592.16	STMN4	0.052168732	1
7	-	ENSG00000015676.17	NUDCD3	7.5125852	0.6173169
5	+	ENSG00000016082.14	ISL1	0	1
3	-	ENSG00000016391.10	CHDH	2.3260752	0.29681434
6	-	ENSG00000016402.13	IL20RA	0	1
1	+	ENSG00000016490.15	CLCA1	0	1
1	+	ENSG00000016602.9	CLCA4	0	1
3	-	ENSG00000016864.17	GLT8D1	15.503686	0.52756338
3	+	ENSG00000017260.19	ATP2C1	93.478894	0.66276472
12	-	ENSG00000017427.15	IGF1	2.2846438	0.97632498
X	-	ENSG00000017483.14	SLC38A5	10.704966	0.4215784
18	+	ENSG00000017797.11	RALBP1	77.010308	0.88652174
4	+	ENSG00000018189.12	RUFY3	6.9916928	0.7138963
12	+	ENSG00000018236.14	CNTN1	0.044860638	1
2	+	ENSG00000018280.16	SLC11A1	0.48949794	0.86923116
3	-	ENSG00000018408.14	WWTR1	0.69311998	0.98168818
2	+	ENSG00000018510.13	AGPS	38.63995	0.81793328
X	-	ENSG00000018610.13	CXorf56	17.14666	0.9584467
1	+	ENSG00000018625.14	ATP1A2	0.68260444	1
2	+	ENSG00000018699.11	TTC27	19.456382	0.78090142
19	-	ENSG00000018869.16	ZNF582	0.41807494	0.95132422
11	-	ENSG00000019102.11	VSIG2	0.070534066	0.78248424
11	+	ENSG00000019144.17	PHLDB1	0.069216056	1
2	+	ENSG00000019169.10	MARCO	0	1
20	-	ENSG00000019186.9	CYP24A1	0	1
11	+	ENSG00000019485.12	PRDM11	0.52682352	0.9895662
11	-	ENSG00000019505.7	SYT13	0	1
8	-	ENSG00000019549.8	SNAI2	0.037498458	1
7	-	ENSG00000019991.15	HGF	0.0458621	0.87992656
10	+	ENSG00000019995.6	ZRANB1	24.599258	0.71960502
1	+	ENSG00000020129.15	NCDN	12.804438	0.47238498
8	+	ENSG00000020181.17	ADGRA2	0.17414534	1
20	-	ENSG00000020256.19	ZFP64	23.788882	0.8922759
14	+	ENSG00000020426.10	MNAT1	17.354734	0.99402768
14	+	ENSG00000020577.13	SAMD4A	6.544404	0.79572904
1	-	ENSG00000020633.18	RUNX3	153.22644	0.81724836
11	-	ENSG00000020922.12	MRE11A	41.355866	0.57620536
11	+	ENSG00000021300.13	PLEKHB1	0.39641018	1
6	-	ENSG00000021355.12	SERPINB1	5.4176128	0.70406648
7	+	ENSG00000021461.16	CYP3A43	0.0081011906	1
19	-	ENSG00000021488.12	SLC7A9	0	1
2	+	ENSG00000021574.11	SPAST	12.165496	0.48800838
14	+	ENSG00000021645.18	NRXN3	0.26460998	0.99624974
11	-	ENSG00000021762.19	OSBPL5	0	1
15	-	ENSG00000021776.10	AQR	5.2338066	0.24927674
2	+	ENSG00000021826.14	CPS1	0.48111982	0.93238044
1	-	ENSG00000021852.12	C8B	0	1
X	+	ENSG00000022267.16	FHL1	2.2157066	0.8743849
20	+	ENSG00000022277.12	RTFDC1	32.510112	0.3346967
5	+	ENSG00000022355.16	GABRA1	0	1
19	+	ENSG00000022556.15	NLRP2	0.30690464	0.72302906
8	-	ENSG00000022567.9	SLC45A4	3.8807506	0.65082116
12	+	ENSG00000022840.15	RNF10	95.473376	0.83105942
14	+	ENSG00000022976.15	ZNF839	8.5012462	0.4616108
10	-	ENSG00000023041.11	ZDHHC6	12.56236	0.25787918
11	+	ENSG00000023171.15	GRAMD1B	2.1995538	0.75696568
11	-	ENSG00000023191.16	RNH1	67.546516	0.7993561
2	-	ENSG00000023228.13	NDUFS1	65.998326	0.72835786
8	-	ENSG00000023287.12	RB1CC1	15.636528	0.29251308
9	-	ENSG00000023318.7	ERP44	87.816856	0.96439994
3	+	ENSG00000023330.14	ALAS1	50.43343	0.75117106
11	+	ENSG00000023445.13	BIRC3	149.11678	0.65923992
13	+	ENSG00000023516.8	AKAP11	19.226596	0.09416586
1	-	ENSG00000023572.8	GLRX2	3.890114	0.87833594
14	+	ENSG00000023608.4	SNAPC1	9.8994416	0.817547
12	+	ENSG00000023697.12	DERA	20.426514	0.82524782
12	+	ENSG00000023734.10	STRAP	92.005638	0.90509428
10	+	ENSG00000023839.10	ABCC2	0.53183298	0.9667384
6	+	ENSG00000023892.10	DEF6	24.353126	0.47317338
1	+	ENSG00000023902.13	PLEKHO1	45.206418	0.91243326
1	-	ENSG00000023909.9	GCLM	9.1268974	0.83673588
6	+	ENSG00000024048.10	UBR2	11.21837	0.10859962
19	+	ENSG00000024422.11	EHD2	0.5907944	1
1	-	ENSG00000024526.16	DEPDC1	10.889142	0.64896648
6	+	ENSG00000024862.17	CCDC28A	17.41684	0.90293424
6	-	ENSG00000025039.14	RRAGD	16.135994	0.94162282
6	+	ENSG00000025156.12	HSF2	12.91401	0.52790462
20	+	ENSG00000025293.16	PHF20	19.874528	0.45582236
12	+	ENSG00000025423.11	HSD17B6	0.41166172	0.96770868
11	+	ENSG00000025434.18	NR1H3	1.7469952	0.69173166
22	-	ENSG00000025708.13	TYMP	3.7165516	0.3011715
22	+	ENSG00000025770.18	NCAPH2	18.34093	0.38785972
20	-	ENSG00000025772.7	TOMM34	27.13761	0.68742264
6	-	ENSG00000025796.13	SEC63	50.390158	0.77210602
1	+	ENSG00000025800.13	KPNA6	65.410246	0.63672484
10	+	ENSG00000026025.14	VIM	68.179514	0.83997088
10	+	ENSG00000026103.20	FAS	70.611184	0.85893846
6	-	ENSG00000026297.15	RNASET2	49.035028	0.28978506
11	+	ENSG00000026508.16	CD44	40.89936	0.96328174
20	-	ENSG00000026559.13	KCNG1	0	1
