chr	strand	gene_id	gene_symbol	omega_p2	rate_p2
17	-	ENSG00000004142.11	POLDIP2	55.221108	0.78522228
3	-	ENSG00000004399.12	PLXND1	12.885308	0.39478036
1	-	ENSG00000004455.16	AK2	76.31402	0.9646954
4	+	ENSG00000004468.12	CD38	0.067996084	1
12	+	ENSG00000004478.7	FKBP4	33.012716	0.793321
1	+	ENSG00000004487.15	KDM1A	42.482476	0.74166528
3	+	ENSG00000004534.14	RBM6	22.124508	0.71469632
17	-	ENSG00000004660.14	CAMKK1	4.0441324	0.37981544
12	-	ENSG00000004700.15	RECQL	16.375252	0.2970698
7	+	ENSG00000004766.15	VPS50	13.772708	0.74552272
19	-	ENSG00000004776.11	HSPB6	28.985072	0.95626132
19	+	ENSG00000004777.18	ARHGAP33	0	0
16	-	ENSG00000004779.9	NDUFAB1	22.134444	0.97976672
7	-	ENSG00000004799.7	PDK4	1.5366904	0.87597664
6	-	ENSG00000004809.13	SLC22A16	0	1
3	-	ENSG00000004838.13	ZMYND10	0.13205784	1
7	+	ENSG00000004846.16	ABCB5	0.068558204	1
X	-	ENSG00000004848.7	ARX	0	1
7	-	ENSG00000004864.13	SLC25A13	4.4762712	0.6332396
7	+	ENSG00000004866.19	ST7	11.457744	0.6410104
17	-	ENSG00000004897.11	CDC27	53.25608	0.64096996
17	-	ENSG00000004939.13	SLC4A1	0.03917346	1
7	-	ENSG00000004948.13	CALCR	0	1
X	+	ENSG00000004961.14	HCCS	15.815628	0.84770284
17	-	ENSG00000004975.11	DVL2	20.871316	0.66798968
16	-	ENSG00000005001.9	PRSS22	0	1
19	+	ENSG00000005007.12	UPF1	19.027548	0.5531406
7	-	ENSG00000005020.12	SKAP2	13.78762	0.8784968
X	+	ENSG00000005022.5	SLC25A5	68.409624	0.939625
4	+	ENSG00000005059.15	CCDC109B	6.318392	0.86791696
7	-	ENSG00000005073.5	HOXA11	7.4613104	0.96446088
7	-	ENSG00000005075.15	POLR2J	23.317368	0.9139018
17	-	ENSG00000005100.12	DHX33	19.79698	0.62822924
17	-	ENSG00000005102.12	MEOX1	0	1
7	-	ENSG00000005108.15	THSD7A	0.032140136	1
17	+	ENSG00000005156.11	LIG3	6.7885036	0.28455756
12	-	ENSG00000005175.9	RPAP3	14.911316	0.8636852
16	+	ENSG00000005187.11	ACSM3	0.12429764	0.9404964
16	+	ENSG00000005189.19	AC004381.6	0.763002	0.447383
16	-	ENSG00000005194.14	CIAPIN1	22.922548	0.94746532
19	+	ENSG00000005206.16	SPPL2B	15.937704	0.5157188
9	-	ENSG00000005238.19	FAM214B	4.9426692	0.198971
17	-	ENSG00000005243.9	COPZ2	7.398484	0.77800616
7	+	ENSG00000005249.12	PRKAR2B	1.0821452	0.90436512
X	+	ENSG00000005302.17	MSL3	20.148568	0.87733092
16	-	ENSG00000005339.14	CREBBP	48.013	0.72457772
17	-	ENSG00000005379.15	TSPOAP1	0.18408944	0.85255884
17	-	ENSG00000005381.7	MPO	0	1
7	-	ENSG00000005421.8	PON1	0	1
2	-	ENSG00000005436.13	GCFC2	2.1620212	0.16338256
2	+	ENSG00000005448.16	WDR54	4.5406164	0.60390196
7	+	ENSG00000005469.11	CROT	7.9914784	0.61740032
7	-	ENSG00000005471.15	ABCB4	0.036401216	1
7	+	ENSG00000005483.20	KMT2E	14.919524	0.29500084
7	+	ENSG00000005486.16	RHBDD2	11.14332	0.79720948
16	+	ENSG00000005513.9	SOX8	0	1
6	-	ENSG00000005700.14	IBTK	11.1577	0.5345842
11	-	ENSG00000005801.16	ZNF195	10.374504	0.66953416
13	-	ENSG00000005810.17	MYCBP2	46.318556	0.41180816
13	-	ENSG00000005812.10	FBXL3	36.506656	0.87234688
16	+	ENSG00000005844.17	ITGAL	0	1
17	+	ENSG00000005882.11	PDK2	6.2566076	0.83680416
17	+	ENSG00000005884.17	ITGA3	10.577204	0.61898784
X	+	ENSG00000005889.15	ZFX	18.7145	0.43774292
X	-	ENSG00000005893.15	LAMP2	144.30992	0.9644744
17	-	ENSG00000005961.17	ITGA2B	0	1
7	+	ENSG00000005981.12	ASB4	0.12313984	1
16	-	ENSG00000006007.11	GDE1	38.397648	0.99257704
19	+	ENSG00000006015.17	C19orf60	4.401546	0.80341456
19	-	ENSG00000006016.10	CRLF1	0.19740632	0.32293752
17	-	ENSG00000006025.11	OSBPL7	1.944906	0.20225768
17	+	ENSG00000006042.11	TMEM98	35.978188	0.95940372
17	-	ENSG00000006047.12	YBX2	0	1
17	-	ENSG00000006059.3	KRT33A	0	1
17	-	ENSG00000006062.13	MAP3K14	1.7441892	0.28328312
11	-	ENSG00000006071.12	ABCC8	0	1
16	+	ENSG00000006116.3	CACNG3	0	1
11	+	ENSG00000006118.14	TMEM132A	16.593152	0.88173756
17	+	ENSG00000006125.16	AP2B1	169.22084	0.904934
7	+	ENSG00000006128.11	TAC1	0	1
16	+	ENSG00000006194.9	ZNF263	15.957404	0.4861438
16	+	ENSG00000006210.6	CX3CL1	0.55551204	1
17	+	ENSG00000006282.20	SPATA20	5.630852	0.406417
17	+	ENSG00000006283.17	CACNA1G	0.37165392	0.87935764
16	+	ENSG00000006327.13	TNFRSF12A	29.166412	0.875287
7	+	ENSG00000006377.10	DLX6	0	1
14	-	ENSG00000006432.15	MAP3K9	0.21605616	1
7	+	ENSG00000006451.7	RALA	49.079848	0.94306296
7	-	ENSG00000006453.13	BAIAP2L1	2.2607284	0.4248864
7	-	ENSG00000006459.10	KDM7A	2.7279168	0.65230728
7	-	ENSG00000006468.13	ETV1	3.8285736	0.9038922
7	+	ENSG00000006530.15	AGK	15.836884	0.6217648
11	+	ENSG00000006534.15	ALDH3B1	3.3965584	0.6217386
1	-	ENSG00000006555.10	TTC22	0.12818844	1
7	+	ENSG00000006576.16	PHTF2	15.867156	0.64844644
7	-	ENSG00000006606.8	CCL26	0.001163112	0.94130812
2	+	ENSG00000006607.13	FARP2	26.608452	0.85858308
11	-	ENSG00000006611.15	USH1C	0	1
7	-	ENSG00000006625.17	GGCT	11.497504	0.84681764
7	+	ENSG00000006634.7	DBF4	0.092217624	0.51442092
19	-	ENSG00000006638.11	TBXA2R	0.61741372	0.98237296
7	+	ENSG00000006652.13	IFRD1	26.665588	0.73485724
19	+	ENSG00000006659.12	LGALS14	0	1
17	+	ENSG00000006695.10	COX10	8.2185356	0.92793532
7	+	ENSG00000006704.10	GTF2IRD1	10.798528	0.75992628
19	-	ENSG00000006712.14	PAF1	27.789384	0.67947184
7	-	ENSG00000006715.15	VPS41	37.795956	0.87416128
17	+	ENSG00000006740.16	ARHGAP44	0.4962254	0.96974688
17	-	ENSG00000006744.18	ELAC2	22.89878	0.72639644
7	+	ENSG00000006747.14	SCIN	0.56736328	1
X	-	ENSG00000006756.15	ARSD	5.4534	0.5634004
X	-	ENSG00000006757.11	PNPLA4	5.7519136	0.89925076
17	-	ENSG00000006788.12	MYH13	0	1
12	+	ENSG00000006831.9	ADIPOR2	0	0
5	-	ENSG00000006837.11	CDKL3	0.39498724	0.64071708
2	+	ENSG00000007001.12	UPP2	0	1
16	+	ENSG00000007038.10	PRSS21	0	0.89218236
19	+	ENSG00000007047.14	MARK4	21.469528	0.6871638
4	-	ENSG00000007062.11	PROM1	0	1
19	+	ENSG00000007080.10	CCDC124	33.894868	0.95679548
19	+	ENSG00000007129.17	CEACAM21	0	1
17	+	ENSG00000007168.12	PAFAH1B1	114.69948	0.93111144
17	-	ENSG00000007171.16	NOS2	0	1
17	+	ENSG00000007174.17	DNAH9	0	1
17	-	ENSG00000007202.14	KIAA0100	55.9526	0.37846308
17	+	ENSG00000007216.14	SLC13A2	0	1
17	-	ENSG00000007237.18	GAS7	1.975984	0.951598
19	-	ENSG00000007255.10	TRAPPC6A	1.313692	0.74588876
19	-	ENSG00000007264.14	MATK	0	1
19	-	ENSG00000007306.14	CEACAM7	0	1
17	-	ENSG00000007312.12	CD79B	0	1
17	-	ENSG00000007314.11	SCN4A	0	1
1	-	ENSG00000007341.18	ST7L	1.737736	0.68888084
X	+	ENSG00000007350.16	TKTL1	0	1
11	-	ENSG00000007372.20	PAX6	0.58079288	1
16	-	ENSG00000007376.7	RPUSD1	10.62908	0.66165468
16	-	ENSG00000007384.15	RHBDF1	13.439976	0.29066304
16	-	ENSG00000007392.16	LUC7L	8.7277304	0.84126948
3	-	ENSG00000007402.11	CACNA2D2	0	1
16	+	ENSG00000007516.13	BAIAP3	0.1396514	1
16	-	ENSG00000007520.3	TSR3	25.863556	0.78805516
16	+	ENSG00000007541.16	PIGQ	10.57808	0.855706
16	+	ENSG00000007545.15	CRAMP1	0.14454688	0.005497686
6	-	ENSG00000007866.18	TEAD3	12.077736	0.36324408
1	-	ENSG00000007908.15	SELE	0	1
1	-	ENSG00000007923.15	DNAJC11	32.206204	0.72729892
1	+	ENSG00000007933.12	FMO3	0.15487592	0.70543336
6	+	ENSG00000007944.14	MYLIP	4.01629	0.49709176
X	-	ENSG00000007952.17	NOX1	0.090241688	1
1	-	ENSG00000007968.6	E2F2	0.20598136	0.92797056
6	-	ENSG00000008018.8	PSMB1	70.072428	0.93165676
X	-	ENSG00000008056.12	SYN1	0.2139196	1
6	+	ENSG00000008083.13	JARID2	9.5834836	0.418531
X	+	ENSG00000008086.11	CDKL5	6.8275424	0.9434496
1	+	ENSG00000008118.9	CAMK1G	0	1
1	-	ENSG00000008128.22	CDK11A	0.34015096	0.016701456
1	-	ENSG00000008130.15	NADK	35.207912	0.54288772
6	+	ENSG00000008196.12	TFAP2B	0	1
6	+	ENSG00000008197.4	TFAP2D	0	1
3	+	ENSG00000008226.19	DLEC1	0	1
7	-	ENSG00000008256.15	CYTH3	58.268508	0.77280152
7	+	ENSG00000008277.14	ADAM22	0.7725018	0.93741644
7	-	ENSG00000008282.8	SYPL1	75.40476	0.99199632
17	-	ENSG00000008283.15	CYB561	19.478232	1
17	-	ENSG00000008294.20	SPAG9	88.982072	0.85108248
3	-	ENSG00000008300.15	CELSR3	0.9425472	0.83133312
7	-	ENSG00000008311.14	AASS	0.68368292	0.044520908
12	+	ENSG00000008323.15	PLEKHG6	0.21671472	1
3	+	ENSG00000008324.10	SS18L2	6.6307504	0.97874236
19	+	ENSG00000008382.15	MPND	3.6210964	0.61673464
12	+	ENSG00000008394.12	MGST1	109.17156	0.96136784
12	-	ENSG00000008405.11	CRY1	7.420784	0.8433502
19	-	ENSG00000008438.4	PGLYRP1	0	1
19	+	ENSG00000008441.16	NFIX	78.570908	0.8914042
8	-	ENSG00000008513.14	ST3GAL1	31.239768	0.81417668
16	+	ENSG00000008516.16	MMP25	0	0
16	+	ENSG00000008517.16	IL32	0.80666068	0.97952504
16	-	ENSG00000008710.18	PKD1	2.0257252	0.006006198
22	+	ENSG00000008735.13	MAPK8IP2	0	1
17	-	ENSG00000008838.18	MED24	24.947828	0.5344438
8	+	ENSG00000008853.16	RHOBTB2	13.471488	0.45367952
2	-	ENSG00000008869.11	HEATR5B	16.65994	0.63024184
3	+	ENSG00000008952.16	SEC62	114.08748	0.92295448
8	-	ENSG00000008988.9	RPS20	175.6118	0.99783696
1	-	ENSG00000009307.15	CSDE1	396.08404	0.8476678
7	+	ENSG00000009335.17	UBE3C	77.361876	0.78162372
6	-	ENSG00000009413.15	REV3L	14.822208	0.39088044
X	-	ENSG00000009694.13	TENM1	0.075298312	1
1	+	ENSG00000009709.11	PAX7	0	1
1	-	ENSG00000009724.16	MASP2	0.0003221308	6.14180000000001e-05
6	+	ENSG00000009765.14	IYD	0.17497312	1
1	+	ENSG00000009780.15	FAM76A	5.2168624	0.92954464
1	+	ENSG00000009790.14	TRAF3IP3	0	1
14	-	ENSG00000009830.11	POMT2	12.748112	0.73987356
6	+	ENSG00000009844.15	VTA1	37.958952	0.98880464
7	-	ENSG00000009950.15	MLXIPL	0	1
7	-	ENSG00000009954.10	BAZ1B	73.419604	0.80442136
6	-	ENSG00000010017.12	RANBP9	44.073836	0.84018808
6	-	ENSG00000010030.13	ETV7	0.28069708	0.97857568
1	+	ENSG00000010072.15	SPRTN	7.331012	0.95562652
1	+	ENSG00000010165.19	METTL13	23.071224	0.80970288
12	+	ENSG00000010219.13	DYRK4	0.81911896	0.74864604
17	+	ENSG00000010244.17	ZNF207	99.95672	0.71419264
3	-	ENSG00000010256.10	UQCRC1	22.410708	0.76804092
7	+	ENSG00000010270.13	STARD3NL	22.47886	0.93193168
12	+	ENSG00000010278.12	CD9	3.9926356	0.94831216
3	-	ENSG00000010282.14	HHATL	0	1
12	+	ENSG00000010292.12	NCAPD2	8.5710428	0.2899352
12	-	ENSG00000010295.19	IFFO1	6.2611188	0.4834968
19	+	ENSG00000010310.8	GIPR	0.17379264	1
3	+	ENSG00000010318.20	PHF7	0	0
3	-	ENSG00000010319.6	SEMA3G	0.078856064	1
3	+	ENSG00000010322.15	NISCH	41.790044	0.610676
3	+	ENSG00000010327.10	STAB1	0.20657	1
19	-	ENSG00000010361.13	FUZ	2.7760184	0.541701
12	-	ENSG00000010379.15	SLC6A13	0	1
X	-	ENSG00000010404.17	IDS	50.122008	0.700107
9	+	ENSG00000010438.16	PRSS3	0.19396308	0.86010508
16	-	ENSG00000010539.11	ZNF200	4.41271	0.90477812
12	+	ENSG00000010610.9	CD4	0.12122108	0.96035204
12	+	ENSG00000010626.14	LRRC23	0.69040432	0.30625392
X	-	ENSG00000010671.15	BTK	0	1
6	+	ENSG00000010704.18	HFE	10.390648	0.80826028
1	-	ENSG00000010803.16	SCMH1	17.049868	0.5765494
6	-	ENSG00000010810.17	FYN	60.817888	0.91597784
6	-	ENSG00000010818.8	HIVEP2	21.888908	0.62365616
1	+	ENSG00000010932.15	FMO1	0	2.790052e-08
1	+	ENSG00000011007.12	TCEB3	46.326892	0.801251
1	+	ENSG00000011009.10	LYPLA2	17.330808	0.58442716
1	+	ENSG00000011021.21	CLCN6	6.323396	0.16238392
17	+	ENSG00000011028.13	MRC2	61.565888	0.38966788
17	+	ENSG00000011052.21	NME1-NME2	11.1035	0.97711368
5	+	ENSG00000011083.8	SLC6A7	0	1
12	+	ENSG00000011105.11	TSPAN9	10.672144	0.91208216
14	-	ENSG00000011114.14	BTBD7	6.2487248	0.83581396
19	-	ENSG00000011132.11	APBA3	4.6072452	0.64535152
17	-	ENSG00000011143.16	MKS1	3.8433652	0.41477764
3	+	ENSG00000011198.7	ABHD5	8.9584748	0.96312688
X	-	ENSG00000011201.11	ANOS1	0	1
19	-	ENSG00000011243.17	AKAP8L	9.9122184	0.51781228
17	-	ENSG00000011258.15	MBTD1	7.520916	0.39290444
17	+	ENSG00000011260.13	UTP18	18.459168	0.82831916
7	-	ENSG00000011275.18	RNF216	35.13084	0.56050028
17	+	ENSG00000011295.15	TTC19	3.0910416	0.5476578
19	+	ENSG00000011304.18	PTBP1	126.16904	0.81614936
19	-	ENSG00000011332.19	DPF1	0.39520776	0.58050452
11	-	ENSG00000011347.9	SYT7	0.35438704	0.89941736
3	+	ENSG00000011376.9	LARS2	17.492344	0.938271
11	-	ENSG00000011405.13	PIK3C2A	29.587516	0.37055668
19	-	ENSG00000011422.11	PLAUR	22.948396	0.91730676
7	+	ENSG00000011426.10	ANLN	4.094074	0.66595744
19	-	ENSG00000011451.17	WIZ	34.023208	0.52954272
9	+	ENSG00000011454.16	RABGAP1	34.730364	0.78294372
19	+	ENSG00000011478.11	QPCTL	4.101236	0.69693736
19	+	ENSG00000011485.14	PPP5C	40.663772	0.86019832
2	+	ENSG00000011523.13	CEP68	12.194224	0.74631588
2	-	ENSG00000011566.14	MAP4K3	19.508588	0.47552836
19	+	ENSG00000011590.13	ZBTB32	0	1
19	-	ENSG00000011600.11	TYROBP	0	1
16	+	ENSG00000011638.10	TMEM159	6.6248764	0.89114576
X	-	ENSG00000011677.12	GABRA3	0	1
17	-	ENSG00000012048.20	BRCA1	6.2207296	0.69829436
19	-	ENSG00000012061.15	ERCC1	49.491388	0.9186124
19	+	ENSG00000012124.15	CD22	0	1
3	+	ENSG00000012171.18	SEMA3B	2.1438572	0.63984752
X	+	ENSG00000012174.11	MBTPS2	29.283356	0.81476132
X	-	ENSG00000012211.12	PRICKLE3	2.622864	0.73580924
3	-	ENSG00000012223.12	LTF	0	1
8	+	ENSG00000012232.8	EXTL3	33.224816	0.97281336
12	+	ENSG00000012504.13	NR1H4	0	1
6	-	ENSG00000012660.13	ELOVL5	74.0961	0.96675484
10	+	ENSG00000012779.10	ALOX5	0	1
12	-	ENSG00000012822.15	CALCOCO1	35.435956	0.85084436
14	+	ENSG00000012963.14	UBR7	16.05278	0.80922172
14	-	ENSG00000012983.11	MAP4K5	0.069447444	0.00097090728
2	+	ENSG00000013016.15	EHD3	13.700412	0.88954456
19	+	ENSG00000013275.7	PSMC4	29.023268	0.85954556
4	+	ENSG00000013288.8	MAN2B2	37.0345	0.66389416
3	-	ENSG00000013293.5	SLC7A14	0.30228308	0.99090048
3	+	ENSG00000013297.10	CLDN11	51.505144	0.98921528
17	-	ENSG00000013306.15	SLC25A39	32.492336	0.73296612
16	+	ENSG00000013364.18	MVP	157.49292	0.7469812
7	+	ENSG00000013374.15	NUB1	33.169904	0.76998728
6	-	ENSG00000013375.15	PGM3	44.865608	0.80533236
6	+	ENSG00000013392.7	RWDD2A	0	0
2	-	ENSG00000013441.15	CLK1	4.8630508	0.61022604
12	+	ENSG00000013503.9	POLR3B	9.2963656	0.71866692
14	-	ENSG00000013523.9	ANGEL1	13.525964	0.84033084
5	+	ENSG00000013561.17	RNF14	29.952552	0.91150616
X	-	ENSG00000013563.13	DNASE1L1	4.0421416	0.63919312
12	+	ENSG00000013573.16	DDX11	3.59528	0.56308624
12	-	ENSG00000013583.8	HEBP1	37.475464	0.92207384
12	+	ENSG00000013588.6	GPRC5A	5.6474948	1
X	+	ENSG00000013619.13	MAMLD1	5.1831124	0.7685208
11	+	ENSG00000013725.14	CD6	0	1
4	+	ENSG00000013810.18	TACC3	2.4993716	0.71265592
6	+	ENSG00000014123.9	UFL1	26.556688	0.57375556
11	+	ENSG00000014138.8	POLA2	2.6453432	0.57153284
8	-	ENSG00000014164.6	ZC3H3	8.6281776	0.50558584
11	+	ENSG00000014216.15	CAPN1	54.955812	0.77102544
3	+	ENSG00000014257.15	ACPP	0.19030396	0.96749024
2	+	ENSG00000014641.17	MDH1	72.498088	0.9491156
4	+	ENSG00000014824.13	SLC30A9	25.717164	0.83110468
1	-	ENSG00000014914.19	MTMR11	1.1625056	0.2355578
10	-	ENSG00000014919.12	COX15	12.452392	0.24120908
14	-	ENSG00000015133.18	CCDC88C	0.030139372	1
12	-	ENSG00000015153.14	YAF2	7.0728764	0.75203316
10	+	ENSG00000015171.18	ZMYND11	63.754052	0.78854596
X	+	ENSG00000015285.10	WAS	0.079884676	1
16	+	ENSG00000015413.9	DPEP1	0	0.69261148
22	-	ENSG00000015475.18	BID	15.621528	0.96313804
5	+	ENSG00000015479.17	MATR3	138.69888	0.8850228
7	-	ENSG00000015520.14	NPC1L1	0	1
17	+	ENSG00000015532.9	XYLT2	7.7230748	0.33355376
2	+	ENSG00000015568.12	RGPD5	0.53944804	1
8	-	ENSG00000015592.16	STMN4	0	1
7	-	ENSG00000015676.17	NUDCD3	4.1308624	0.90752736
5	+	ENSG00000016082.14	ISL1	0	1
3	-	ENSG00000016391.10	CHDH	0.15743788	1
6	-	ENSG00000016402.13	IL20RA	0.029518192	1
1	+	ENSG00000016490.15	CLCA1	0	1
1	+	ENSG00000016602.9	CLCA4	0	1
3	-	ENSG00000016864.17	GLT8D1	19.58026	0.62807532
3	+	ENSG00000017260.19	ATP2C1	80.899856	0.83055804
12	-	ENSG00000017427.15	IGF1	0	0.99889504
X	-	ENSG00000017483.14	SLC38A5	6.4935244	0.50661676
18	+	ENSG00000017797.11	RALBP1	69.119776	0.89606612
4	+	ENSG00000018189.12	RUFY3	15.755464	0.795407
12	+	ENSG00000018236.14	CNTN1	0.19839632	0.98758864
2	+	ENSG00000018280.16	SLC11A1	0.166803	1
3	-	ENSG00000018408.14	WWTR1	51.00964	0.98977744
2	+	ENSG00000018510.13	AGPS	39.562196	0.8323142
X	-	ENSG00000018610.13	CXorf56	10.012952	0.96638232
1	+	ENSG00000018625.14	ATP1A2	0.27917464	1
2	+	ENSG00000018699.11	TTC27	11.617016	0.73621644
19	-	ENSG00000018869.16	ZNF582	1.2868532	0.917493
11	-	ENSG00000019102.11	VSIG2	0.070830112	0.91793568
11	+	ENSG00000019144.17	PHLDB1	24.427968	0.36634676
2	+	ENSG00000019169.10	MARCO	0	1
20	-	ENSG00000019186.9	CYP24A1	0	1
11	+	ENSG00000019485.12	PRDM11	2.1713492	0.83825468
11	-	ENSG00000019505.7	SYT13	0	1
8	-	ENSG00000019549.8	SNAI2	79.163468	0.77876564
5	-	ENSG00000019582.14	CD74	1.619836	0.947867
7	-	ENSG00000019991.15	HGF	3.1339796	0.81084996
10	+	ENSG00000019995.6	ZRANB1	27.013844	0.75325696
1	+	ENSG00000020129.15	NCDN	24.3136	0.63595956
8	+	ENSG00000020181.17	ADGRA2	48.205856	0.50390532
20	-	ENSG00000020256.19	ZFP64	11.77462	0.87750384
14	+	ENSG00000020426.10	MNAT1	10.701396	0.9974072
14	+	ENSG00000020577.13	SAMD4A	32.652988	0.82430372
1	-	ENSG00000020633.18	RUNX3	0.74778508	0.9683926
11	-	ENSG00000020922.12	MRE11A	13.408956	0.55081616
11	+	ENSG00000021300.13	PLEKHB1	0.061078236	1
6	-	ENSG00000021355.12	SERPINB1	13.4453	0.69624116
7	+	ENSG00000021461.16	CYP3A43	0	1
19	-	ENSG00000021488.12	SLC7A9	0	1
2	+	ENSG00000021574.11	SPAST	8.8156392	0.50801296
14	+	ENSG00000021645.18	NRXN3	0.1759274	1
11	-	ENSG00000021762.19	OSBPL5	7.006942	0.40536376
15	-	ENSG00000021776.10	AQR	9.1714572	0.38683624
2	+	ENSG00000021826.14	CPS1	13.070812	0.85481652
1	-	ENSG00000021852.12	C8B	0	1
X	+	ENSG00000022267.16	FHL1	37.30908	0.92602012
20	+	ENSG00000022277.12	RTFDC1	34.188804	0.36693744
5	+	ENSG00000022355.16	GABRA1	0	1
19	+	ENSG00000022556.15	NLRP2	0.0065412816	1
8	-	ENSG00000022567.9	SLC45A4	3.573558	0.84111732
12	+	ENSG00000022840.15	RNF10	101.81804	0.87998396
14	+	ENSG00000022976.15	ZNF839	4.8816232	0.6913788
10	-	ENSG00000023041.11	ZDHHC6	20.023492	0.42760332
11	+	ENSG00000023171.15	GRAMD1B	1.818182	0.84938876
11	-	ENSG00000023191.16	RNH1	167.02344	0.82623776
2	-	ENSG00000023228.13	NDUFS1	52.41398	0.75089904
8	-	ENSG00000023287.12	RB1CC1	28.550588	0.5062714
9	-	ENSG00000023318.7	ERP44	58.474836	0.96972864
3	+	ENSG00000023330.14	ALAS1	23.15508	0.81158348
11	+	ENSG00000023445.13	BIRC3	0.86371036	0.61947348
13	+	ENSG00000023516.8	AKAP11	39.3555	0.39068168
1	-	ENSG00000023572.8	GLRX2	4.9860316	0.93708196
14	+	ENSG00000023608.4	SNAPC1	16.9352	0.91123648
12	+	ENSG00000023697.12	DERA	14.963604	0.83997268
12	+	ENSG00000023734.10	STRAP	90.342416	0.93697376
10	+	ENSG00000023839.10	ABCC2	0.57755644	0.47112484
6	+	ENSG00000023892.10	DEF6	0.39163636	0.89510504
1	+	ENSG00000023902.13	PLEKHO1	12.831436	0.88911704
1	-	ENSG00000023909.9	GCLM	15.423696	0.88282664
6	+	ENSG00000024048.10	UBR2	19.611384	0.34810464
19	+	ENSG00000024422.11	EHD2	361.89216	0.9250642
1	-	ENSG00000024526.16	DEPDC1	0.16805028	0.824414
6	+	ENSG00000024862.17	CCDC28A	5.5927532	0.76169784
6	-	ENSG00000025039.14	RRAGD	0.14275832	0.99588616
6	+	ENSG00000025156.12	HSF2	8.1550536	0.62461172
20	+	ENSG00000025293.16	PHF20	32.405244	0.69260912
12	+	ENSG00000025423.11	HSD17B6	0.1628558	0.98029604
11	+	ENSG00000025434.18	NR1H3	4.6960656	0.6959972
22	-	ENSG00000025708.13	TYMP	2.0427524	0.3535254
22	+	ENSG00000025770.18	NCAPH2	7.7495532	0.4266976
20	-	ENSG00000025772.7	TOMM34	16.579848	0.66972284
6	-	ENSG00000025796.13	SEC63	91.733024	0.85155784
1	+	ENSG00000025800.13	KPNA6	64.77418	0.74932208
10	+	ENSG00000026103.20	FAS	28.2508	0.83011024
6	-	ENSG00000026297.15	RNASET2	8.5469488	0.97741124
11	+	ENSG00000026508.16	CD44	235.833	0.96261656
20	-	ENSG00000026559.13	KCNG1	4.4263408	0.95586216
6	-	ENSG00000026652.13	AGPAT4	3.2484416	0.32847968
1	+	ENSG00000026751.16	SLAMF7	0	1
6	+	ENSG00000026950.16	BTN3A1	5.6478356	0.42181684
